id,entry_id,account_code,debit_amount,credit_amount,description,entity_id,created_at,updated_at
79,40,5032,1859.00,0.00,Sent money to Rohde Smash Repairs,3,2026-03-11 09:09:20.060129,2026-03-11 09:09:20.060132
80,40,1010,0.00,1859.00,Sent money to Rohde Smash Repairs,3,2026-03-11 09:09:20.060133,2026-03-11 09:09:20.060133
83,42,5032,3952.50,0.00,Sent money to Rohde Smash Repairs,3,2026-03-11 09:09:22.777055,2026-03-11 09:09:22.777057
84,42,1010,0.00,3952.50,Sent money to Rohde Smash Repairs,3,2026-03-11 09:09:22.777058,2026-03-11 09:09:22.777058
85,43,5032,1842.50,0.00,Sent money to Rohde Smash Repairs,3,2026-03-11 09:09:24.018023,2026-03-11 09:09:24.018026
86,43,1010,0.00,1842.50,Sent money to Rohde Smash Repairs,3,2026-03-11 09:09:24.018027,2026-03-11 09:09:24.018027
89,45,5032,1322.20,0.00,Sent money to Rohde Smash Repairs,3,2026-03-11 09:09:26.083028,2026-03-11 09:09:26.083031
90,45,1010,0.00,1322.20,Sent money to Rohde Smash Repairs,3,2026-03-11 09:09:26.083032,2026-03-11 09:09:26.083032
91,46,5032,1796.28,0.00,Sent money to Rohde Smash Repairs,3,2026-03-11 09:09:27.175774,2026-03-11 09:09:27.175777
92,46,1010,0.00,1796.28,Sent money to Rohde Smash Repairs,3,2026-03-11 09:09:27.175778,2026-03-11 09:09:27.175779
213,107,6600,3.02,0.00,International Transaction Fee Value Date: 15/03/2026,3,2026-03-18 22:40:57.217416,2026-03-18 22:40:57.217422
214,107,1015,0.00,3.02,International Transaction Fee Value Date: 15/03/2026,3,2026-03-18 22:40:57.217424,2026-03-18 22:40:57.217426
216,108,1015,0.00,1.00,International Transaction Fee Value Date: 16/03/2026,3,2026-03-18 22:40:57.916887,2026-03-18 22:40:57.916890
217,109,6701,28.67,0.00,OPENAI *CHATGPT SUBSCR OPENAI.COM CA US Card xx1999 USD 20.00 Value Date: 16/03/2026,3,2026-03-18 22:40:58.575120,2026-03-18 22:40:58.575126
218,109,1015,0.00,28.67,OPENAI *CHATGPT SUBSCR OPENAI.COM CA US Card xx1999 USD 20.00 Value Date: 16/03/2026,3,2026-03-18 22:40:58.575129,2026-03-18 22:40:58.575130
219,110,6600,8.17,0.00,International Transaction Fee Value Date: 13/03/2026,3,2026-03-18 22:40:59.346239,2026-03-18 22:40:59.346243
220,110,1015,0.00,8.17,International Transaction Fee Value Date: 13/03/2026,3,2026-03-18 22:40:59.346244,2026-03-18 22:40:59.346244
221,111,6701,233.35,0.00,OPENAI *CHATGPT SUBSCR OPENAI.COM CA US Card xx1999 USD 165.00 Value Date: 13/03/2026,3,2026-03-18 22:41:00.015774,2026-03-18 22:41:00.015777
222,111,1015,0.00,233.35,OPENAI *CHATGPT SUBSCR OPENAI.COM CA US Card xx1999 USD 165.00 Value Date: 13/03/2026,3,2026-03-18 22:41:00.015778,2026-03-18 22:41:00.015779
223,112,6600,1.93,0.00,International Transaction Fee Value Date: 13/03/2026,3,2026-03-18 22:41:00.694896,2026-03-18 22:41:00.694902
224,112,1015,0.00,1.93,International Transaction Fee Value Date: 13/03/2026,3,2026-03-18 22:41:00.694905,2026-03-18 22:41:00.694907
225,113,6600,0.99,0.00,International Transaction Fee Value Date: 13/03/2026,3,2026-03-18 22:41:01.437150,2026-03-18 22:41:01.437160
226,113,1015,0.00,0.99,International Transaction Fee Value Date: 13/03/2026,3,2026-03-18 22:41:01.437164,2026-03-18 22:41:01.437167
227,114,6600,1.10,0.00,International Transaction Fee Value Date: 14/03/2026,3,2026-03-18 22:41:02.115573,2026-03-18 22:41:02.115582
228,114,1015,0.00,1.10,International Transaction Fee Value Date: 14/03/2026,3,2026-03-18 22:41:02.115586,2026-03-18 22:41:02.115588
229,115,1015,2969.76,0.00,Direct Credit 509196 INSURET CLAIM 1225x1797,3,2026-03-18 22:41:03.144518,2026-03-18 22:41:03.144523
230,115,5035,0.00,2969.76,Direct Credit 509196 INSURET CLAIM 1225x1797,3,2026-03-18 22:41:03.144525,2026-03-18 22:41:03.144526
231,116,6600,1.24,0.00,International Transaction Fee Value Date: 11/03/2026,3,2026-03-18 22:41:08.304837,2026-03-18 22:41:08.304840
232,116,1015,0.00,1.24,International Transaction Fee Value Date: 11/03/2026,3,2026-03-18 22:41:08.304841,2026-03-18 22:41:08.304841
233,117,6600,47.84,0.00,International Transaction Fee Value Date: 11/03/2026,3,2026-03-18 22:41:15.115541,2026-03-18 22:41:15.115549
234,117,1015,0.00,47.84,International Transaction Fee Value Date: 11/03/2026,3,2026-03-18 22:41:15.115554,2026-03-18 22:41:15.115557
235,118,6701,1366.77,0.00,Twilio HCRRGNX7DJJFDKB9 844-8144627 CA US Card xx1999 USD 950.45 Value Date: 10/03/2026,3,2026-03-18 22:41:15.845629,2026-03-18 22:41:15.845632
236,118,1015,0.00,1366.77,Twilio HCRRGNX7DJJFDKB9 844-8144627 CA US Card xx1999 USD 950.45 Value Date: 10/03/2026,3,2026-03-18 22:41:15.845633,2026-03-18 22:41:15.845634
237,119,6400,483.65,0.00,Trip.com,3,2026-03-19 10:03:47.242366,2026-03-19 10:03:47.242369
238,119,1015,0.00,483.65,Trip.com,3,2026-03-19 10:03:47.242370,2026-03-19 10:03:47.242371
239,120,1015,725.65,0.00,Refund Purchase gotogate1121872211,3,2026-03-19 10:03:48.149632,2026-03-19 10:03:48.149639
240,120,6400,0.00,725.65,Refund Purchase gotogate1121872211,3,2026-03-19 10:03:48.149642,2026-03-19 10:03:48.149643
241,121,6600,3.02,0.00,International Transaction Fee Value Date: 15/03/2026,3,2026-03-19 10:03:49.049811,2026-03-19 10:03:49.049816
242,121,1015,0.00,3.02,International Transaction Fee Value Date: 15/03/2026,3,2026-03-19 10:03:49.049818,2026-03-19 10:03:49.049819
243,122,6701,86.23,0.00,SUPABASE SINGAPORE SG Card xx1999 USD 60.16 Value Date: 15/03/2026,3,2026-03-19 10:03:49.870416,2026-03-19 10:03:49.870425
244,122,1015,0.00,86.23,SUPABASE SINGAPORE SG Card xx1999 USD 60.16 Value Date: 15/03/2026,3,2026-03-19 10:03:49.870429,2026-03-19 10:03:49.870431
245,123,6600,1.00,0.00,International Transaction Fee Value Date: 16/03/2026,3,2026-03-19 10:03:50.760308,2026-03-19 10:03:50.760317
246,123,1015,0.00,1.00,International Transaction Fee Value Date: 16/03/2026,3,2026-03-19 10:03:50.760321,2026-03-19 10:03:50.760324
247,124,6701,28.67,0.00,OPENAI *CHATGPT SUBSCR OPENAI.COM CA US Card xx1999 USD 20.00 Value Date: 16/03/2026,3,2026-03-19 10:03:51.544498,2026-03-19 10:03:51.544505
248,124,1015,0.00,28.67,OPENAI *CHATGPT SUBSCR OPENAI.COM CA US Card xx1999 USD 20.00 Value Date: 16/03/2026,3,2026-03-19 10:03:51.544507,2026-03-19 10:03:51.544509
249,125,6402,13.09,0.00,INCANTO COFFEE SYDNEY AU Card xx1999 Value Date: 16/03/2026,3,2026-03-19 10:03:52.409934,2026-03-19 10:03:52.409940
250,125,1015,0.00,13.09,INCANTO COFFEE SYDNEY AU Card xx1999 Value Date: 16/03/2026,3,2026-03-19 10:03:52.409942,2026-03-19 10:03:52.409943
251,126,6400,725.65,0.00,gotogate1121872211,3,2026-03-19 10:03:53.286351,2026-03-19 10:03:53.286362
252,126,1015,0.00,725.65,gotogate1121872211,3,2026-03-19 10:03:53.286366,2026-03-19 10:03:53.286368
253,127,1015,102.00,0.00,Fast Transfer From SPICA DELORINO 01F2AEE6-0019,3,2026-03-19 10:03:54.070106,2026-03-19 10:03:54.070112
254,127,6000,0.00,102.00,Fast Transfer From SPICA DELORINO 01F2AEE6-0019,3,2026-03-19 10:03:54.070114,2026-03-19 10:03:54.070116
255,128,6600,8.17,0.00,International Transaction Fee Value Date: 13/03/2026,3,2026-03-19 10:03:54.951534,2026-03-19 10:03:54.951541
256,128,1015,0.00,8.17,International Transaction Fee Value Date: 13/03/2026,3,2026-03-19 10:03:54.951544,2026-03-19 10:03:54.951547
257,129,6701,233.35,0.00,OPENAI *CHATGPT SUBSCR OPENAI.COM CA US Card xx1999 USD 165.00 Value Date: 13/03/2026,3,2026-03-19 10:03:55.830923,2026-03-19 10:03:55.830934
258,129,1015,0.00,233.35,OPENAI *CHATGPT SUBSCR OPENAI.COM CA US Card xx1999 USD 165.00 Value Date: 13/03/2026,3,2026-03-19 10:03:55.830951,2026-03-19 10:03:55.830954
259,130,6600,1.93,0.00,International Transaction Fee Value Date: 13/03/2026,3,2026-03-19 10:03:56.664317,2026-03-19 10:03:56.664326
260,130,1015,0.00,1.93,International Transaction Fee Value Date: 13/03/2026,3,2026-03-19 10:03:56.664330,2026-03-19 10:03:56.664333
261,131,6701,55.15,0.00,RIGHTWORKS WWW.RIGHTWORK NH US Card xx1999 USD 39.00 Value Date: 13/03/2026,3,2026-03-19 10:03:57.530713,2026-03-19 10:03:57.530722
262,131,1015,0.00,55.15,RIGHTWORKS WWW.RIGHTWORK NH US Card xx1999 USD 39.00 Value Date: 13/03/2026,3,2026-03-19 10:03:57.530726,2026-03-19 10:03:57.530729
263,132,6400,18.86,0.00,TRANSPORTFORNSW TAP SYDNEY AU Card xx1999 Value Date: 12/03/2026,3,2026-03-19 10:03:58.331321,2026-03-19 10:03:58.331331
75,38,5032,1602.15,0.00,Sent money to Rohde Smash Repairs,3,2026-03-11 09:09:17.803931,2026-03-11 09:09:17.803935
76,38,1010,0.00,1602.15,Sent money to Rohde Smash Repairs,3,2026-03-11 09:09:17.803936,2026-03-11 09:09:17.803937
81,41,5032,3000.00,0.00,Sent money to Rohde Smash Repairs,3,2026-03-11 09:09:21.161038,2026-03-11 09:09:21.161042
82,41,1010,0.00,3000.00,Sent money to Rohde Smash Repairs,3,2026-03-11 09:09:21.161042,2026-03-11 09:09:21.161043
87,44,5032,2789.60,0.00,Sent money to Rohde Smash Repairs,3,2026-03-11 09:09:24.985543,2026-03-11 09:09:24.985546
88,44,1010,0.00,2789.60,Sent money to Rohde Smash Repairs,3,2026-03-11 09:09:24.985547,2026-03-11 09:09:24.985548
93,47,5032,3000.00,0.00,Sent money to Rohde Smash Repairs,3,2026-03-11 09:09:28.593918,2026-03-11 09:09:28.593922
94,47,1010,0.00,3000.00,Sent money to Rohde Smash Repairs,3,2026-03-11 09:09:28.593922,2026-03-11 09:09:28.593923
95,48,1000,10000.00,0.00,FUND TRANSFER Fund Transfer to account 713147601001 SGD 10 000.00@1,2,2026-03-11 09:17:34.117513,2026-03-11 09:17:34.117516
96,48,1016,0.00,10000.00,FUND TRANSFER Fund Transfer to account 713147601001 SGD 10 000.00@1,2,2026-03-11 09:17:34.117517,2026-03-11 09:17:34.117518
97,49,1000,10000.00,0.00,FUND TRANSFER Fund Transfer to account 713147601001 SGD 10 000.00@1,2,2026-03-11 09:17:34.848238,2026-03-11 09:17:34.848243
98,49,1016,0.00,10000.00,FUND TRANSFER Fund Transfer to account 713147601001 SGD 10 000.00@1,2,2026-03-11 09:17:34.848245,2026-03-11 09:17:34.848246
99,50,1000,18000.00,0.00,FUND TRANSFER Fund Transfer to account 713147601001 SGD 18 000.00@1,2,2026-03-11 09:17:35.588242,2026-03-11 09:17:35.588244
100,50,1016,0.00,18000.00,FUND TRANSFER Fund Transfer to account 713147601001 SGD 18 000.00@1,2,2026-03-11 09:17:35.588245,2026-03-11 09:17:35.588246
101,51,1000,3000.00,0.00,FUND TRANSFER Fund Transfer to account 713147601001 SGD 3 000.00@1,2,2026-03-11 09:17:36.334469,2026-03-11 09:17:36.334475
102,51,1016,0.00,3000.00,FUND TRANSFER Fund Transfer to account 713147601001 SGD 3 000.00@1,2,2026-03-11 09:17:36.334477,2026-03-11 09:17:36.334478
103,52,1000,38000.00,0.00,FUND TRANSFER Fund Transfer to account 713147601001 SGD 38 000.00@1,2,2026-03-11 09:17:37.089866,2026-03-11 09:17:37.089869
104,52,1016,0.00,38000.00,FUND TRANSFER Fund Transfer to account 713147601001 SGD 38 000.00@1,2,2026-03-11 09:17:37.089870,2026-03-11 09:17:37.089871
105,53,1016,25000.00,0.00,PAYMENT/TRANSFER CSDB STRIPE PAYMENTS SIN Drive lah P bg8l,2,2026-03-11 09:17:52.428683,2026-03-11 09:17:52.428685
106,53,1017,0.00,25000.00,PAYMENT/TRANSFER CSDB STRIPE PAYMENTS SIN Drive lah P bg8l,2,2026-03-11 09:17:52.428686,2026-03-11 09:17:52.428687
107,54,1016,45.10,0.00,PAYMENT/TRANSFER CSDB STRIPE PAYMENTS SIN Drive lah P 7mQK,2,2026-03-11 09:17:53.128071,2026-03-11 09:17:53.128074
108,54,1017,0.00,45.10,PAYMENT/TRANSFER CSDB STRIPE PAYMENTS SIN Drive lah P 7mQK,2,2026-03-11 09:17:53.128074,2026-03-11 09:17:53.128075
109,55,1016,15000.00,0.00,PAYMENT/TRANSFER CSDB STRIPE PAYMENTS SIN Drive lah P u1UN,2,2026-03-11 09:17:53.886391,2026-03-11 09:17:53.886394
110,55,1017,0.00,15000.00,PAYMENT/TRANSFER CSDB STRIPE PAYMENTS SIN Drive lah P u1UN,2,2026-03-11 09:17:53.886395,2026-03-11 09:17:53.886396
111,56,1016,17000.00,0.00,PAYMENT/TRANSFER CSDB STRIPE PAYMENTS SIN Drive lah P 2oIQ,2,2026-03-11 09:17:54.591747,2026-03-11 09:17:54.591752
112,56,1017,0.00,17000.00,PAYMENT/TRANSFER CSDB STRIPE PAYMENTS SIN Drive lah P 2oIQ,2,2026-03-11 09:17:54.591753,2026-03-11 09:17:54.591753
113,57,1016,16000.00,0.00,PAYMENT/TRANSFER CSDB STRIPE PAYMENTS SIN Drive lah P Pyaa,2,2026-03-11 09:17:55.342305,2026-03-11 09:17:55.342311
114,57,1017,0.00,16000.00,PAYMENT/TRANSFER CSDB STRIPE PAYMENTS SIN Drive lah P Pyaa,2,2026-03-11 09:17:55.342312,2026-03-11 09:17:55.342312
115,58,1016,22000.00,0.00,PAYMENT/TRANSFER CSDB STRIPE PAYMENTS SIN Drive lah P szrK,2,2026-03-11 09:17:56.044983,2026-03-11 09:17:56.044984
116,58,1017,0.00,22000.00,PAYMENT/TRANSFER CSDB STRIPE PAYMENTS SIN Drive lah P szrK,2,2026-03-11 09:17:56.044985,2026-03-11 09:17:56.044985
117,59,1016,15000.00,0.00,PAYMENT/TRANSFER CSDB STRIPE PAYMENTS SIN Drive lah P PYHB,2,2026-03-11 09:17:56.770571,2026-03-11 09:17:56.770575
118,59,1017,0.00,15000.00,PAYMENT/TRANSFER CSDB STRIPE PAYMENTS SIN Drive lah P PYHB,2,2026-03-11 09:17:56.770578,2026-03-11 09:17:56.770579
119,60,1001,12000.00,0.00,FAST PAYMENT OTHR WISE SM3P260107777531 SM3P260107777531,2,2026-03-11 09:17:57.707449,2026-03-11 09:17:57.707451
120,60,1016,0.00,12000.00,FAST PAYMENT OTHR WISE SM3P260107777531 SM3P260107777531,2,2026-03-11 09:17:57.707452,2026-03-11 09:17:57.707452
121,61,1001,14000.00,0.00,FAST PAYMENT OTHR WISE SM3P260115945109 SM3P260115945109,2,2026-03-11 09:17:58.425282,2026-03-11 09:17:58.425285
122,61,1016,0.00,14000.00,FAST PAYMENT OTHR WISE SM3P260115945109 SM3P260115945109,2,2026-03-11 09:17:58.425286,2026-03-11 09:17:58.425286
215,108,6600,1.00,0.00,International Transaction Fee Value Date: 16/03/2026,3,2026-03-18 22:40:57.916874,2026-03-18 22:40:57.916883
167,84,6600,3.02,0.00,International Transaction Fee Value Date: 15/03/2026,3,2026-03-18 08:11:10.421265,2026-03-18 08:11:10.421321
168,84,1015,0.00,3.02,International Transaction Fee Value Date: 15/03/2026,3,2026-03-18 08:11:10.421331,2026-03-18 08:11:10.421339
169,85,6600,1.00,0.00,International Transaction Fee Value Date: 16/03/2026,3,2026-03-18 08:11:11.198529,2026-03-18 08:11:11.198543
170,85,1015,0.00,1.00,International Transaction Fee Value Date: 16/03/2026,3,2026-03-18 08:11:11.198546,2026-03-18 08:11:11.198548
171,86,6701,28.67,0.00,OPENAI *CHATGPT SUBSCR OPENAI.COM CA US Card xx1999 USD 20.00 Value Date: 16/03/2026,3,2026-03-18 08:11:11.866664,2026-03-18 08:11:11.866667
172,86,1015,0.00,28.67,OPENAI *CHATGPT SUBSCR OPENAI.COM CA US Card xx1999 USD 20.00 Value Date: 16/03/2026,3,2026-03-18 08:11:11.866668,2026-03-18 08:11:11.866669
173,87,6600,8.17,0.00,International Transaction Fee Value Date: 13/03/2026,3,2026-03-18 08:11:12.586247,2026-03-18 08:11:12.586253
174,87,1015,0.00,8.17,International Transaction Fee Value Date: 13/03/2026,3,2026-03-18 08:11:12.586256,2026-03-18 08:11:12.586258
175,88,6701,233.35,0.00,OPENAI *CHATGPT SUBSCR OPENAI.COM CA US Card xx1999 USD 165.00 Value Date: 13/03/2026,3,2026-03-18 08:11:13.215513,2026-03-18 08:11:13.215517
