id,company_id,vendor_name,qb_vendor_id,currency,default_expense_account,upload_type,upload_batch_id,status,error_message,vendor_data,qb_response,created_at,updated_at
77,9130348479446096,Amazon.in,391,INR,148,sync,sg_sync_20250703_170957,created,,"{""Id"": ""391"", ""DisplayName"": ""Amazon.in""}","{""Id"": ""391"", ""Active"": true, ""domain"": ""QBO"", ""sparse"": false, ""Balance"": 0, ""MetaData"": {""CreateTime"": ""2025-07-02T16:45:41-07:00"", ""LastUpdatedTime"": ""2025-07-02T16:45:41-07:00""}, ""SyncToken"": ""0"", ""Vendor1099"": false, ""CurrencyRef"": {""name"": ""Indian Rupee"", ""value"": ""INR""}, ""DisplayName"": ""Amazon.in"", ""PrintOnCheckName"": ""Amazon.in""}",10:01.9,14:18.1
58,9130354593661056,Anytime Towing Service Pty Ltd,309,AUD,156,single,bulk_20250703_170916,created,,"{""Notes"": ""Metadata: {'default_expense_account': '156', 'created_by': 'vendor_manager'}"", ""CurrencyRef"": {""value"": ""AUD""}, ""DisplayName"": ""Anytime Towing Service Pty Ltd""}","{""Id"": ""309"", ""Active"": true, ""domain"": ""QBO"", ""sparse"": false, ""Balance"": 0, ""MetaData"": {""CreateTime"": ""2025-07-03T00:09:28-07:00"", ""LastUpdatedTime"": ""2025-07-03T00:09:28-07:00""}, ""SyncToken"": ""0"", ""Vendor1099"": false, ""CurrencyRef"": {""name"": ""Australian Dollar"", ""value"": ""AUD""}, ""DisplayName"": ""Anytime Towing Service Pty Ltd"", ""PrintOnCheckName"": ""Anytime Towing Service Pty Ltd""}",09:28.5,09:28.5
192,9130354593661056,APIA,384,AUD,156,single,bulk_20250705_120404,created,,"{""Notes"": ""Metadata: {'default_expense_account': '156', 'created_by': 'vendor_manager'}"", ""CurrencyRef"": {""value"": ""AUD""}, ""DisplayName"": ""APIA""}","{""Id"": ""384"", ""Active"": true, ""domain"": ""QBO"", ""sparse"": false, ""Balance"": 0, ""MetaData"": {""CreateTime"": ""2025-07-04T19:05:25-07:00"", ""LastUpdatedTime"": ""2025-07-04T19:05:25-07:00""}, ""SyncToken"": ""0"", ""Vendor1099"": false, ""CurrencyRef"": {""name"": ""Australian Dollar"", ""value"": ""AUD""}, ""DisplayName"": ""APIA"", ""PrintOnCheckName"": ""APIA""}",05:25.9,05:25.9
72,9130348479446096,ARENA DETAILING PTE. LTD,392,SGD,48,sync,sg_sync_20250703_170957,created,,"{""Id"": ""392"", ""DisplayName"": ""ARENA DETAILING PTE. LTD""}","{""Id"": ""392"", ""Active"": true, ""domain"": ""QBO"", ""sparse"": false, ""Balance"": 0, ""MetaData"": {""CreateTime"": ""2025-07-02T16:45:43-07:00"", ""LastUpdatedTime"": ""2025-07-02T16:45:43-07:00""}, ""SyncToken"": ""0"", ""Vendor1099"": false, ""CurrencyRef"": {""name"": ""Singapore Dollar"", ""value"": ""SGD""}, ""DisplayName"": ""ARENA DETAILING PTE. LTD"", ""PrintOnCheckName"": ""ARENA DETAILING PTE. LTD""}",10:00.5,14:18.4
79,9130348479446096,Astute Autoworks,393,SGD,48,sync,sg_sync_20250703_170957,created,,"{""Id"": ""393"", ""DisplayName"": ""Astute Autoworks""}","{""Id"": ""393"", ""Active"": true, ""domain"": ""QBO"", ""sparse"": false, ""Balance"": 0, ""MetaData"": {""CreateTime"": ""2025-07-02T16:45:45-07:00"", ""LastUpdatedTime"": ""2025-07-02T16:45:45-07:00""}, ""SyncToken"": ""0"", ""Vendor1099"": false, ""CurrencyRef"": {""name"": ""Singapore Dollar"", ""value"": ""SGD""}, ""DisplayName"": ""Astute Autoworks"", ""PrintOnCheckName"": ""Astute Autoworks""}",10:02.2,14:18.7
59,9130354593661056,ATO direct,310,AUD,105,single,bulk_20250703_170916,created,,"{""Notes"": ""Metadata: {'default_expense_account': '105', 'created_by': 'vendor_manager'}"", ""CurrencyRef"": {""value"": ""AUD""}, ""DisplayName"": ""ATO direct""}","{""Id"": ""310"", ""Active"": true, ""domain"": ""QBO"", ""sparse"": false, ""Balance"": 0, ""MetaData"": {""CreateTime"": ""2025-07-03T00:09:30-07:00"", ""LastUpdatedTime"": ""2025-07-03T00:09:30-07:00""}, ""SyncToken"": ""0"", ""Vendor1099"": false, ""CurrencyRef"": {""name"": ""Australian Dollar"", ""value"": ""AUD""}, ""DisplayName"": ""ATO direct"", ""PrintOnCheckName"": ""ATO direct""}",09:30.8,09:30.8
60,9130354593661056,Auto Tech Locksmiths,311,AUD,49,single,bulk_20250703_170916,created,,"{""Notes"": ""Metadata: {'default_expense_account': '49', 'created_by': 'vendor_manager'}"", ""CurrencyRef"": {""value"": ""AUD""}, ""DisplayName"": ""Auto Tech Locksmiths""}","{""Id"": ""311"", ""Active"": true, ""domain"": ""QBO"", ""sparse"": false, ""Balance"": 0, ""MetaData"": {""CreateTime"": ""2025-07-03T00:09:33-07:00"", ""LastUpdatedTime"": ""2025-07-03T00:09:33-07:00""}, ""SyncToken"": ""0"", ""Vendor1099"": false, ""CurrencyRef"": {""name"": ""Australian Dollar"", ""value"": ""AUD""}, ""DisplayName"": ""Auto Tech Locksmiths"", ""PrintOnCheckName"": ""Auto Tech Locksmiths""}",09:33.2,09:33.2
80,9130348479446096,Automotive Glass Works Pte Ltd,394,SGD,48,sync,sg_sync_20250703_170957,created,,"{""Id"": ""394"", ""DisplayName"": ""Automotive Glass Works Pte Ltd""}","{""Id"": ""394"", ""Active"": true, ""domain"": ""QBO"", ""sparse"": false, ""Balance"": 0, ""MetaData"": {""CreateTime"": ""2025-07-02T16:45:48-07:00"", ""LastUpdatedTime"": ""2025-07-02T16:45:48-07:00""}, ""SyncToken"": ""0"", ""Vendor1099"": false, ""CurrencyRef"": {""name"": ""Singapore Dollar"", ""value"": ""SGD""}, ""DisplayName"": ""Automotive Glass Works Pte Ltd"", ""PrintOnCheckName"": ""Automotive Glass Works Pte Ltd""}",10:02.5,14:19.1
168,9130354593661056,Autorola,361,AUD,156,single,bulk_20250705_120404,created,,"{""Notes"": ""Metadata: {'default_expense_account': '156', 'created_by': 'vendor_manager'}"", ""CurrencyRef"": {""value"": ""AUD""}, ""DisplayName"": ""Autorola""}","{""Id"": ""361"", ""Active"": true, ""domain"": ""QBO"", ""sparse"": false, ""Balance"": 0, ""MetaData"": {""CreateTime"": ""2025-07-04T19:04:07-07:00"", ""LastUpdatedTime"": ""2025-07-04T19:04:07-07:00""}, ""SyncToken"": ""0"", ""Vendor1099"": false, ""CurrencyRef"": {""name"": ""Australian Dollar"", ""value"": ""AUD""}, ""DisplayName"": ""Autorola"", ""PrintOnCheckName"": ""Autorola""}",04:08.4,04:08.4
73,9130348479446096,AWS,395,SGD,17,sync,sg_sync_20250703_170957,created,,"{""Id"": ""395"", ""DisplayName"": ""AWS""}","{""Id"": ""395"", ""Active"": true, ""domain"": ""QBO"", ""sparse"": false, ""Balance"": 2401.0, ""MetaData"": {""CreateTime"": ""2025-07-02T16:45:50-07:00"", ""LastUpdatedTime"": ""2025-07-02T17:22:47-07:00""}, ""SyncToken"": ""0"", ""Vendor1099"": false, ""CurrencyRef"": {""name"": ""Singapore Dollar"", ""value"": ""SGD""}, ""DisplayName"": ""AWS"", ""PrintOnCheckName"": ""AWS""}",10:00.7,14:19.3
185,9130354593661056,Bastian's Towing,377,AUD,156,single,bulk_20250705_120404,created,,"{""Notes"": ""Metadata: {'default_expense_account': '156', 'created_by': 'vendor_manager'}"", ""CurrencyRef"": {""value"": ""AUD""}, ""DisplayName"": ""Bastian's Towing""}","{""Id"": ""377"", ""Active"": true, ""domain"": ""QBO"", ""sparse"": false, ""Balance"": 0, ""MetaData"": {""CreateTime"": ""2025-07-04T19:05:02-07:00"", ""LastUpdatedTime"": ""2025-07-04T19:05:02-07:00""}, ""SyncToken"": ""0"", ""Vendor1099"": false, ""CurrencyRef"": {""name"": ""Australian Dollar"", ""value"": ""AUD""}, ""DisplayName"": ""Bastian's Towing"", ""PrintOnCheckName"": ""Bastian's Towing""}",05:03.1,05:03.1
61,9130354593661056,Bird & Bird,312,AUD,94,single,bulk_20250703_170916,created,,"{""Notes"": ""Metadata: {'default_expense_account': '94', 'created_by': 'vendor_manager'}"", ""CurrencyRef"": {""value"": ""AUD""}, ""DisplayName"": ""Bird & Bird""}","{""Id"": ""312"", ""Active"": true, ""domain"": ""QBO"", ""sparse"": false, ""Balance"": 0, ""MetaData"": {""CreateTime"": ""2025-07-03T00:09:35-07:00"", ""LastUpdatedTime"": ""2025-07-03T00:09:35-07:00""}, ""SyncToken"": ""0"", ""Vendor1099"": false, ""CurrencyRef"": {""name"": ""Australian Dollar"", ""value"": ""AUD""}, ""DisplayName"": ""Bird & Bird"", ""PrintOnCheckName"": ""Bird & Bird""}",09:35.8,09:35.8
81,9130348479446096,Blackcoffer,,USD,17,single,,failed,400 Client Error: Bad Request for url: https://quickbooks.api.intuit.com/v3/company/9130348479446096/vendor,"{""Name"": ""Blackcoffer""}",null,10:02.8,15:46.8
210,9130348479446096,Blackcoffer data,,USD,17,single,,failed,400 Client Error: Bad Request for url: https://quickbooks.api.intuit.com/v3/company/9130348479446096/vendor,"{""Name"": ""Blackcoffer data""}",null,26:52.9,26:52.9
213,9130348479446096,Blackcoffer Tech,,USD,17,single,,duplicate,Vendor 'Blackcoffer Tech' already exists,"{""DisplayName"": ""Blackcoffer Tech""}","{""Id"": ""453"", ""Active"": true, ""domain"": ""QBO"", ""sparse"": false, ""Balance"": 0, ""MetaData"": {""CreateTime"": ""2025-07-04T22:34:45-07:00"", ""LastUpdatedTime"": ""2025-07-04T22:34:45-07:00""}, ""SyncToken"": ""0"", ""Vendor1099"": false, ""CurrencyRef"": {""name"": ""United States Dollar"", ""value"": ""USD""}, ""DisplayName"": ""Blackcoffer Tech"", ""PrintOnCheckName"": ""Blackcoffer Tech""}",33:38.5,35:18.5
195,9130354593661056,BM Precision Paint works,387,AUD,156,single,bulk_20250705_120404,created,,"{""Notes"": ""Metadata: {'default_expense_account': '156', 'created_by': 'vendor_manager'}"", ""CurrencyRef"": {""value"": ""AUD""}, ""DisplayName"": ""BM Precision Paint works""}","{""Id"": ""387"", ""Active"": true, ""domain"": ""QBO"", ""sparse"": false, ""Balance"": 0, ""MetaData"": {""CreateTime"": ""2025-07-04T19:05:36-07:00"", ""LastUpdatedTime"": ""2025-07-04T19:05:36-07:00""}, ""SyncToken"": ""0"", ""Vendor1099"": false, ""CurrencyRef"": {""name"": ""Australian Dollar"", ""value"": ""AUD""}, ""DisplayName"": ""BM Precision Paint works"", ""PrintOnCheckName"": ""BM Precision Paint works""}",05:36.3,05:36.3
82,9130348479446096,Body Fix,397,SGD,48,sync,sg_sync_20250703_170957,created,,"{""Id"": ""397"", ""DisplayName"": ""Body Fix""}","{""Id"": ""397"", ""Active"": true, ""domain"": ""QBO"", ""sparse"": false, ""Balance"": 0, ""MetaData"": {""CreateTime"": ""2025-07-02T16:45:54-07:00"", ""LastUpdatedTime"": ""2025-07-02T16:45:54-07:00""}, ""SyncToken"": ""0"", ""Vendor1099"": false, ""CurrencyRef"": {""name"": ""Singapore Dollar"", ""value"": ""SGD""}, ""DisplayName"": ""Body Fix"", ""PrintOnCheckName"": ""Body Fix""}",10:03.0,14:20.0
190,9130354593661056,Bris Towing,382,AUD,156,single,bulk_20250705_120404,created,,"{""Notes"": ""Metadata: {'default_expense_account': '156', 'created_by': 'vendor_manager'}"", ""CurrencyRef"": {""value"": ""AUD""}, ""DisplayName"": ""Bris Towing""}","{""Id"": ""382"", ""Active"": true, ""domain"": ""QBO"", ""sparse"": false, ""Balance"": 0, ""MetaData"": {""CreateTime"": ""2025-07-04T19:05:18-07:00"", ""LastUpdatedTime"": ""2025-07-04T19:05:18-07:00""}, ""SyncToken"": ""0"", ""Vendor1099"": false, ""CurrencyRef"": {""name"": ""Australian Dollar"", ""value"": ""AUD""}, ""DisplayName"": ""Bris Towing"", ""PrintOnCheckName"": ""Bris Towing""}",05:18.2,05:18.2
63,9130354593661056,Bytchenkov Pty Ltd,314,AUD,156,single,bulk_20250703_170916,created,,"{""Notes"": ""Metadata: {'default_expense_account': '156', 'created_by': 'vendor_manager'}"", ""CurrencyRef"": {""value"": ""AUD""}, ""DisplayName"": ""Bytchenkov Pty Ltd""}","{""Id"": ""314"", ""Active"": true, ""domain"": ""QBO"", ""sparse"": false, ""Balance"": 0, ""MetaData"": {""CreateTime"": ""2025-07-03T00:09:40-07:00"", ""LastUpdatedTime"": ""2025-07-03T00:09:40-07:00""}, ""SyncToken"": ""0"", ""Vendor1099"": false, ""CurrencyRef"": {""name"": ""Australian Dollar"", ""value"": ""AUD""}, ""DisplayName"": ""Bytchenkov Pty Ltd"", ""PrintOnCheckName"": ""Bytchenkov Pty Ltd""}",09:40.5,09:40.5
84,9130348479446096,Car mobile detailing,398,SGD,48,sync,sg_sync_20250703_170957,created,,"{""Id"": ""398"", ""DisplayName"": ""Car mobile detailing""}","{""Id"": ""398"", ""Active"": true, ""domain"": ""QBO"", ""sparse"": false, ""Balance"": 0, ""MetaData"": {""CreateTime"": ""2025-07-02T16:45:57-07:00"", ""LastUpdatedTime"": ""2025-07-02T16:45:57-07:00""}, ""SyncToken"": ""0"", ""Vendor1099"": false, ""CurrencyRef"": {""name"": ""Singapore Dollar"", ""value"": ""SGD""}, ""DisplayName"": ""Car mobile detailing"", ""PrintOnCheckName"": ""Car mobile detailing""}",10:03.6,14:20.4
85,9130348479446096,Cashify,399,INR,148,sync,sg_sync_20250703_170957,created,,"{""Id"": ""399"", ""DisplayName"": ""Cashify""}","{""Id"": ""399"", ""Active"": true, ""domain"": ""QBO"", ""sparse"": false, ""Balance"": 0, ""MetaData"": {""CreateTime"": ""2025-07-02T16:45:59-07:00"", ""LastUpdatedTime"": ""2025-07-02T16:45:59-07:00""}, ""SyncToken"": ""0"", ""Vendor1099"": false, ""CurrencyRef"": {""name"": ""Indian Rupee"", ""value"": ""INR""}, ""DisplayName"": ""Cashify"", ""PrintOnCheckName"": ""Cashify""}",10:03.9,14:20.7
216,9130354593661056,CDC Australia,394,AUD,165,single,,created,,"{""Notes"": ""Metadata: {'default_expense_account': '165', 'created_by': 'vendor_manager'}"", ""CompanyName"": ""CDC Australia"", ""CurrencyRef"": {""value"": ""AUD""}, ""DisplayName"": ""CDC Australia""}","{""Id"": ""394"", ""Active"": true, ""domain"": ""QBO"", ""sparse"": false, ""Balance"": 0, ""MetaData"": {""CreateTime"": ""2025-07-10T04:48:31-07:00"", ""LastUpdatedTime"": ""2025-07-10T04:48:31-07:00""}, ""SyncToken"": ""0"", ""Vendor1099"": false, ""CompanyName"": ""CDC Australia"", ""CurrencyRef"": {""name"": ""Australian Dollar"", ""value"": ""AUD""}, ""DisplayName"": ""CDC Australia"", ""PrintOnCheckName"": ""CDC Australia""}",42:48.7,48:33.7
173,9130354593661056,Cedar towing,366,AUD,156,single,bulk_20250705_120404,created,,"{""Notes"": ""Metadata: {'default_expense_account': '156', 'created_by': 'vendor_manager'}"", ""CurrencyRef"": {""value"": ""AUD""}, ""DisplayName"": ""Cedar towing""}","{""Id"": ""366"", ""Active"": true, ""domain"": ""QBO"", ""sparse"": false, ""Balance"": 0, ""MetaData"": {""CreateTime"": ""2025-07-04T19:04:23-07:00"", ""LastUpdatedTime"": ""2025-07-04T19:04:23-07:00""}, ""SyncToken"": ""0"", ""Vendor1099"": false, ""CurrencyRef"": {""name"": ""Australian Dollar"", ""value"": ""AUD""}, ""DisplayName"": ""Cedar towing"", ""PrintOnCheckName"": ""Cedar towing""}",04:23.9,04:23.9
64,9130354593661056,checked.com.au,315,AUD,75,single,bulk_20250703_170916,created,,"{""Notes"": ""Metadata: {'default_expense_account': '75', 'created_by': 'vendor_manager'}"", ""CurrencyRef"": {""value"": ""AUD""}, ""DisplayName"": ""checked.com.au""}","{""Id"": ""315"", ""Active"": true, ""domain"": ""QBO"", ""sparse"": false, ""Balance"": 0, ""MetaData"": {""CreateTime"": ""2025-07-03T00:09:42-07:00"", ""LastUpdatedTime"": ""2025-07-03T00:09:42-07:00""}, ""SyncToken"": ""0"", ""Vendor1099"": false, ""CurrencyRef"": {""name"": ""Australian Dollar"", ""value"": ""AUD""}, ""DisplayName"": ""checked.com.au"", ""PrintOnCheckName"": ""checked.com.au""}",09:42.8,09:42.8
83,9130348479446096,CHENG CHUAN MOTOR SERVICES,400,SGD,48,sync,sg_sync_20250703_170957,created,,"{""Id"": ""400"", ""DisplayName"": ""CHENG CHUAN MOTOR SERVICES""}","{""Id"": ""400"", ""Active"": true, ""domain"": ""QBO"", ""sparse"": false, ""Balance"": 0, ""MetaData"": {""CreateTime"": ""2025-07-02T16:46:01-07:00"", ""LastUpdatedTime"": ""2025-07-02T16:46:01-07:00""}, ""SyncToken"": ""0"", ""Vendor1099"": false, ""CurrencyRef"": {""name"": ""Singapore Dollar"", ""value"": ""SGD""}, ""DisplayName"": ""CHENG CHUAN MOTOR SERVICES"", ""PrintOnCheckName"": ""CHENG CHUAN MOTOR SERVICES""}",10:03.3,14:21.0
194,9130354593661056,Christopher J Malan,386,AUD,156,single,bulk_20250705_120404,created,,"{""Notes"": ""Metadata: {'default_expense_account': '156', 'created_by': 'vendor_manager'}"", ""CurrencyRef"": {""value"": ""AUD""}, ""DisplayName"": ""Christopher J Malan""}","{""Id"": ""386"", ""Active"": true, ""domain"": ""QBO"", ""sparse"": false, ""Balance"": 0, ""MetaData"": {""CreateTime"": ""2025-07-04T19:05:33-07:00"", ""LastUpdatedTime"": ""2025-07-04T19:05:33-07:00""}, ""SyncToken"": ""0"", ""Vendor1099"": false, ""CurrencyRef"": {""name"": ""Australian Dollar"", ""value"": ""AUD""}, ""DisplayName"": ""Christopher J Malan"", ""PrintOnCheckName"": ""Christopher J Malan""}",05:33.2,05:33.2
171,9130354593661056,Clayton Towing,364,AUD,156,single,bulk_20250705_120404,created,,"{""Notes"": ""Metadata: {'default_expense_account': '156', 'created_by': 'vendor_manager'}"", ""CurrencyRef"": {""value"": ""AUD""}, ""DisplayName"": ""Clayton Towing""}","{""Id"": ""364"", ""Active"": true, ""domain"": ""QBO"", ""sparse"": false, ""Balance"": 0, ""MetaData"": {""CreateTime"": ""2025-07-04T19:04:17-07:00"", ""LastUpdatedTime"": ""2025-07-04T19:04:17-07:00""}, ""SyncToken"": ""0"", ""Vendor1099"": false, ""CurrencyRef"": {""name"": ""Australian Dollar"", ""value"": ""AUD""}, ""DisplayName"": ""Clayton Towing"", ""PrintOnCheckName"": ""Clayton Towing""}",04:18.1,04:18.1
169,9130354593661056,Collision Towing & Recovery Services,362,AUD,156,single,bulk_20250705_120404,created,,"{""Notes"": ""Metadata: {'default_expense_account': '156', 'created_by': 'vendor_manager'}"", ""CurrencyRef"": {""value"": ""AUD""}, ""DisplayName"": ""Collision Towing & Recovery Services""}","{""Id"": ""362"", ""Active"": true, ""domain"": ""QBO"", ""sparse"": false, ""Balance"": 0, ""MetaData"": {""CreateTime"": ""2025-07-04T19:04:11-07:00"", ""LastUpdatedTime"": ""2025-07-04T19:04:11-07:00""}, ""SyncToken"": ""0"", ""Vendor1099"": false, ""CurrencyRef"": {""name"": ""Australian Dollar"", ""value"": ""AUD""}, ""DisplayName"": ""Collision Towing & Recovery Services"", ""PrintOnCheckName"": ""Collision Towing & Recovery Services""}",04:11.5,04:11.5
86,9130348479446096,ComfortDelGro Rent-A-Car Pte Ltd,401,SGD,184,sync,sg_sync_20250703_170957,created,,"{""Id"": ""401"", ""DisplayName"": ""ComfortDelGro Rent-A-Car Pte Ltd""}","{""Id"": ""401"", ""Active"": true, ""domain"": ""QBO"", ""sparse"": false, ""Balance"": 0, ""MetaData"": {""CreateTime"": ""2025-07-02T16:46:03-07:00"", ""LastUpdatedTime"": ""2025-07-02T16:46:03-07:00""}, ""SyncToken"": ""0"", ""Vendor1099"": false, ""CurrencyRef"": {""name"": ""Singapore Dollar"", ""value"": ""SGD""}, ""DisplayName"": ""ComfortDelGro Rent-A-Car Pte Ltd"", ""PrintOnCheckName"": ""ComfortDelGro Rent-A-Car Pte Ltd""}",10:04.2,14:21.4
