txn_id,date,amount,current_cp_id,description,matched_candidates
5476,2026-02-06,-3000.0,399,DEBIT PURCHASE 04/02/26 xx-8724 Google ADS9173773995 Sin,399:Google Ads | 398:Google
6746,2026-01-12,-84.0,302,=è0;è2) 73.00.60VO.980D.100S.3R.LS30303R852ZZ21.2.6013.0911 13 Jan Intuit Quickb,433:Quickbooks | 302:Intuit Quickbooks Sydney AU
6616,2026-06-09,-59.99,302,Intuit Quickbooks Sydney AU Card xx1999 Value Date 04/06/2026,433:Quickbooks | 302:Intuit Quickbooks Sydney AU
6866,2026-02-03,1254.82,76,Direct Credit 650646 GLOBAL TRANSPORT /,76:GT insurance | 693:Global Transport & Automotive Insurance Solutions
9680,2026-01-12,-2156.69,126,Sent money to Rohde Smash Repairs,126:Rohde Smash Repair | 652:Rohde Smash Repairs
6886,2026-02-07,-59.99,302,Intuit Quickbooks Sydney AU Card xx1999 Value Date 04/02/2026,433:Quickbooks | 302:Intuit Quickbooks Sydney AU
6926,2026-02-13,-84.0,302,Intuit Quickbooks Sydney AU Card xx1999 Value Date 11/02/2026,433:Quickbooks | 302:Intuit Quickbooks Sydney AU
5516,2026-02-12,-3000.0,399,DEBIT PURCHASE 10/02/26 xx-8724 Google ADS9173773995 Sin,399:Google Ads | 398:Google
11304,2026-07-27,-786.5,,Sent money to Riezel Basilio Villanueva,175:Riezel Basilio Villanueva | 654:Riezel Basilio Villanueva
10187,2026-03-16,-386.1,179,Sent money to Raymund Jay Juliano Recto,179:Raymund Jay Juliano Recto | 253:Jay Balan
5483,2026-02-07,-1558.36,148,DEBIT PURCHASE USD 1183.96 04/02/26 xx-8724 Twilio N9QKQQ2WPGX6QW2 San RNB05ESNC,148:Twilio | 520:CPF
5575,2026-02-18,-194.41,388,DEBIT PURCHASE GBP 109.00 15/02/26 xx-2090 DROPBOX DOCSEND SAN,388:DROPBOX | 386:docsend
5491,2026-02-08,-21.9,335,DEBIT PURCHASE USD 16.64 06/02/26 xx-6839 ANTHROPIC SAN RNB05ESNC\7 Singapore do,335:ANTHROPIC | 520:CPF
5581,2026-02-18,-78.99,302,DEBIT PURCHASE 16/02/26 xx-8724 INTUIT *QBooks Online SAN,433:Quickbooks | 302:Intuit Quickbooks Sydney AU
5499,2026-02-09,-23.0,335,DEBIT PURCHASE USD 17.44 06/02/26 xx-6839 ANTHROPIC SAN RNB05ESNC\8 Singapore do,335:ANTHROPIC | 520:CPF
5508,2026-02-11,-721.13,390,DEBIT PURCHASE 08/02/26 xx-8724 FACEBK *LWRP6DDBY DUB RNB05ESNC\9 Singapore doll,390:Facebook | 520:CPF
9310,2026-02-16,-567.0,179,Sent money to Raymund Jay Juliano Recto,179:Raymund Jay Juliano Recto | 253:Jay Balan
6632,2026-06-13,-84.0,302,Intuit Quickbooks Sydney AU Card xx1999 Value Date 10/06/2026,433:Quickbooks | 302:Intuit Quickbooks Sydney AU
6126,2026-06-10,-36.6,301,DEBIT PURCHASE USD 27.46 08/06/26 xx-3180 OPENAI SAN RNB05ESNC\5 Singapore dolla,520:CPF | 301:OPENAI (ChatGPT Subscription)
5678,2026-03-01,-3000.0,399,DEBIT PURCHASE 27/02/26 xx-8724 Google ADS9173773995 Sin,399:Google Ads | 398:Google
5681,2026-03-02,-65.43,413,DEBIT PURCHASE USD 50.00 28/02/26 xx-1247 LOOM SUBSCRIPTION AUS RNB05ESND\1 Sing,413:Loom | 520:CPF
5691,2026-03-04,-2380.46,399,DEBIT PURCHASE 01/03/26 xx-8724 Google ADS9173773995 Sin,399:Google Ads | 398:Google
5700,2026-03-06,-57.0,302,DEBIT PURCHASE 03/03/26 xx-8724 INTUIT *QBooks Online SAN,433:Quickbooks | 302:Intuit Quickbooks Sydney AU
5701,2026-03-06,-3000.0,399,DEBIT PURCHASE 04/03/26 xx-8724 Google ADS9173773995 Sin,399:Google Ads | 398:Google
10628,2026-05-16,-769.45,175,Sent money to Riezel Basilio Villanueva,175:Riezel Basilio Villanueva | 654:Riezel Basilio Villanueva
5719,2026-03-10,-3000.0,399,DEBIT PURCHASE 07/03/26 xx-8724 Google ADS9173773995 Sin,399:Google Ads | 398:Google
5941,2026-04-25,-40.52,375,DEBIT PURCHASE USD 30.75 22/04/26 xx-4180 BIRTHDAYBOT NEW RNB05ESND\13 Singapore,375:Birthdaybot | 520:CPF
5737,2026-03-15,-125.57,460,DEBIT PURCHASE USD 95.38 12/03/26 xx-2035 TRELLO.COM* ATLASSIAN NEW,374:ATLASSIAN | 460:Trello
9852,2026-01-27,-648.0,179,Sent money to Raymund Jay Juliano Recto,179:Raymund Jay Juliano Recto | 253:Jay Balan
5316,2026-01-15,-126.93,374,DEBIT PURCHASE USD 95.38 12/01/26 xx-2035 TRELLO.COM* ATLASSIAN NEW,374:ATLASSIAN | 460:Trello
6118,2026-06-07,-213.64,405,DEBIT PURCHASE 05/06/26 xx-9628 Hubspot Singapore Ltd Sin RNB05ESNC\4 Singapore ,405:Hubspot | 520:CPF
5759,2026-03-18,-193.12,388,DEBIT PURCHASE GBP 109.00 15/03/26 xx-2090 DROPBOX DOCSEND SAN,388:DROPBOX | 386:docsend
5760,2026-03-18,-78.99,302,DEBIT PURCHASE 16/03/26 xx-8724 INTUIT *QBooks Online SAN,433:Quickbooks | 302:Intuit Quickbooks Sydney AU
7054,2026-03-13,-84.0,302,Intuit Quickbooks Sydney AU Card xx1999 Value Date 10/03/2026,433:Quickbooks | 302:Intuit Quickbooks Sydney AU
5950,2026-04-27,-84.98,462,"DEBIT PURCHASE USD 64.31 25/04/26 xx-7293 TYPEFORM, S.L. BAR RNB05ESND\14 Singap",462:Typeform | 520:CPF
9489,2026-05-27,-704.0,175,Sent money to Riezel Basilio Villanueva,175:Riezel Basilio Villanueva | 654:Riezel Basilio Villanueva
5973,2026-05-03,-36.15,301,DEBIT PURCHASE USD 27.30 01/05/26 xx-3180 OPENAI SAN RNB05ESNC\1 Singapore dolla,520:CPF | 301:OPENAI (ChatGPT Subscription)
5834,2026-04-04,-1395.65,399,DEBIT PURCHASE 02/04/26 xx-8724 Google ADS9173773995 Sin,399:Google Ads | 398:Google
5845,2026-04-06,-57.0,302,DEBIT PURCHASE 03/04/26 xx-8724 INTUIT *QBooks Online SAN,433:Quickbooks | 302:Intuit Quickbooks Sydney AU
5983,2026-05-05,-1362.5,390,DEBIT PURCHASE 02/05/26 xx-8724 FACEBK *PTE9RN9BY DUB RNB05ESNC\2 Singapore doll,390:Facebook | 520:CPF
10351,2026-04-15,-440.0,126,Sent money to Rohde Smash Repairs,126:Rohde Smash Repair | 652:Rohde Smash Repairs
5889,2026-04-15,-125.67,460,DEBIT PURCHASE USD 95.38 12/04/26 xx-2035 TRELLO.COM* ATLASSIAN NEW,374:ATLASSIAN | 460:Trello
9570,2026-06-15,-704.0,175,Sent money to Riezel Basilio Villanueva,175:Riezel Basilio Villanueva | 654:Riezel Basilio Villanueva
5908,2026-04-17,-57.0,302,DEBIT PURCHASE 15/04/26 xx-8724 INTUIT *QBooks Online SAN,433:Quickbooks | 302:Intuit Quickbooks Sydney AU
5915,2026-04-18,-78.99,302,DEBIT PURCHASE 16/04/26 xx-8724 INTUIT *QBooks Online SAN,433:Quickbooks | 302:Intuit Quickbooks Sydney AU
9298,2026-02-16,-693.0,175,Sent money to Riezel Basilio Villanueva,175:Riezel Basilio Villanueva | 654:Riezel Basilio Villanueva
6109,2026-06-06,-57.0,302,DEBIT PURCHASE 03/06/26 xx-8724 INTUIT *QBooks Online SAN RNB05ESNC\3 Singapore ,433:Quickbooks | 302:Intuit Quickbooks Sydney AU | 520:CPF
9840,2026-01-27,-792.0,175,Sent money to Riezel Basilio Villanueva,175:Riezel Basilio Villanueva | 654:Riezel Basilio Villanueva
5989,2026-05-06,-57.0,302,DEBIT PURCHASE 03/05/26 xx-8724 INTUIT *QBooks Online SAN,433:Quickbooks | 302:Intuit Quickbooks Sydney AU
6038,2026-05-18,-57.0,302,DEBIT PURCHASE 15/05/26 xx-8724 INTUIT *QBooks Online SAN,433:Quickbooks | 302:Intuit Quickbooks Sydney AU
6039,2026-05-18,-194.39,388,DEBIT PURCHASE GBP 109.00 15/05/26 xx-2090 DROPBOX DOCSEND SAN,388:DROPBOX | 386:docsend
11075,2026-01-15,-550.0,175,Sent money to Riezel Basilio Villanueva,175:Riezel Basilio Villanueva | 654:Riezel Basilio Villanueva
6323,2026-04-01,-1300.0,326,Payrix*WOTSO HOLDINGS WOTSO HOLDINGS--22,326:IPPY*WOTSO HOLDINGS | 327:Payrix*WOTSO HOLDINGS
6336,2026-04-08,-59.99,302,Intuit Quickbooks Sydney AU Card xx1999 Value Date 04/04/2026,433:Quickbooks | 302:Intuit Quickbooks Sydney AU
10045,2026-02-27,-775.5,175,Sent money to Riezel Basilio Villanueva,175:Riezel Basilio Villanueva | 654:Riezel Basilio Villanueva
6854,2026-02-01,-2200.0,326,Payrix*WOTSO HOLDINGS WOTSO HOLDINGS--22,326:IPPY*WOTSO HOLDINGS | 327:Payrix*WOTSO HOLDINGS
6136,2026-06-15,-126.99,460,DEBIT PURCHASE USD 95.38 12/06/26 xx-2035 TRELLO.COM* ATLASSIAN NEW,374:ATLASSIAN | 460:Trello
6168,2026-06-19,-78.99,302,DEBIT PURCHASE 16/06/26 xx-8724 INTUIT *QBooks Online SAN,433:Quickbooks | 302:Intuit Quickbooks Sydney AU
6163,2026-06-18,-194.86,388,DEBIT PURCHASE GBP 109.00 15/06/26 xx-2090 DROPBOX DOCSEND SAN,388:DROPBOX | 386:docsend
10174,2026-03-16,-786.5,175,Sent money to Riezel Basilio Villanueva,175:Riezel Basilio Villanueva | 654:Riezel Basilio Villanueva
10373,2026-04-15,-770.0,175,Sent money to Riezel Basilio Villanueva,175:Riezel Basilio Villanueva | 654:Riezel Basilio Villanueva
6009,2026-05-11,-633.52,443,DEBIT PURCHASE USD 483.06 08/05/26 xx-4313 SENTRY SAN RNB05ESNC\5 Singapore doll,443:Sentry | 520:CPF
6018,2026-05-14,-38.56,427,DEBIT PURCHASE USD 29.40 12/05/26 xx-4180 OCTOPODS OMNICHANNEL COR RNB05ESNC\6 S,427:OCTOPODS | 520:CPF
6020,2026-05-15,-125.1,460,DEBIT PURCHASE USD 95.38 12/05/26 xx-2035 TRELLO.COM* ATLASSIAN NEW,374:ATLASSIAN | 460:Trello
6026,2026-05-16,-28.67,301,DEBIT PURCHASE USD 21.80 13/05/26 xx-3180 OPENAI *CHATGPT SUBSCR SAN RNB05ESNC\7,520:CPF | 301:OPENAI (ChatGPT Subscription)
5517,2026-02-12,-22.76,335,DEBIT PURCHASE USD 17.32 09/02/26 xx-6839 ANTHROPIC SAN RNB05ESNC\10 Singapore d,335:ANTHROPIC | 520:CPF
6036,2026-05-18,-0.37,600,CCY CONVERSION FEE FOR: 37.23 SGD RNB05ESNC\8 Singapore dollar deposits of non-b,600:OCBC | 520:CPF
5535,2026-02-15,-124.82,460,DEBIT PURCHASE USD 95.38 12/02/26 xx-2035 TRELLO.COM* ATLASSIAN NEW,374:ATLASSIAN | 460:Trello
5542,2026-02-15,-3000.0,398,DEBIT PURCHASE 13/02/26 xx-8724 GOOGLE*ADS9173773995 CC RNB05ESNC\13 Singapore d,398:Google | 520:CPF
6045,2026-05-19,-142.74,422,DEBIT PURCHASE USD 107.91 16/05/26 xx-4648 MONDAY.COM NEW RNB05ESNC\9 Singapore ,422:MONDAY.COM | 520:CPF
6046,2026-05-19,-78.99,302,DEBIT PURCHASE 16/05/26 xx-8724 INTUIT *QBooks Online SAN,433:Quickbooks | 302:Intuit Quickbooks Sydney AU
5560,2026-02-17,-0.59,600,CCY CONVERSION FEE FOR: 59.00 SGD RNB05ESNC\15 Singapore dollar deposits of non-,600:OCBC | 520:CPF
5570,2026-02-18,-21.66,335,DEBIT PURCHASE USD 16.58 15/02/26 xx-6839 ANTHROPIC SAN RNB05ESNC\16 Singapore d,335:ANTHROPIC | 520:CPF
5587,2026-02-19,-21.37,335,DEBIT PURCHASE USD 16.38 16/02/26 xx-6839 ANTHROPIC SAN RNB05ESNC\18 Singapore d,335:ANTHROPIC | 520:CPF
5596,2026-02-20,-21.94,335,DEBIT PURCHASE USD 16.78 17/02/26 xx-8724 ANTHROPIC SAN RNB05ESNC\19 Singapore d,335:ANTHROPIC | 520:CPF
6063,2026-05-24,-46.31,376,DEBIT PURCHASE USD 35.00 21/05/26 xx-9146 BITLY.COM NEW RNB05ESNC\11 Singapore d,376:Bitly | 520:CPF
5613,2026-02-21,-22.8,335,DEBIT PURCHASE USD 17.44 18/02/26 xx-6839 ANTHROPIC SAN RNB05ESNC\21 Singapore d,335:ANTHROPIC | 520:CPF
5621,2026-02-21,-36.33,335,DEBIT PURCHASE USD 27.78 18/02/26 xx-6839 ANTHROPIC SAN RNB05ESNC\22 Singapore d,335:ANTHROPIC | 520:CPF
5637,2026-02-22,-185.88,421,DEBIT PURCHASE USD 141.70 19/02/26 xx-5133 MIRO.COM SAN RNB05ESNC\24 Singapore d,421:Miro | 520:CPF
5646,2026-02-24,-17.98,379,DEBIT PURCHASE 21/02/26 xx-4330 CANVA* I04800-0767321 CAM RNB05ESNC\25 Singapore,379:Canva | 520:CPF
5655,2026-02-26,-13.09,428,DEBIT PURCHASE USD 10.00 23/02/26 xx-4180 ONELINK.TO JAR RNB05ESNC\26 Singapore ,428:ONELINK.TO | 520:CPF
10475,2026-04-27,-764.5,175,Sent money to Riezel Basilio Villanueva,175:Riezel Basilio Villanueva | 654:Riezel Basilio Villanueva
5699,2026-03-06,-0.57,600,CCY CONVERSION FEE FOR: 57.00 SGD RNB05ESND\3 Singapore dollar deposits of non-b,600:OCBC | 520:CPF
5743,2026-03-16,-92.21,458,DEBIT PURCHASE USD 69.60 14/03/26 xx-6209 TIMETASTIC WIL RNB05ESND\8 Singapore d,458:Timetastic | 520:CPF
5771,2026-03-21,-514.22,445,DEBIT PURCHASE USD 389.00 18/03/26 xx-5342 SHARETRIBE HEL RNB05ESND\11 Singapore,445:Sharetribe | 520:CPF
5864,2026-04-10,-36.28,301,DEBIT PURCHASE USD 27.27 07/04/26 xx-3180 OPENAI SAN RNB05ESND\5 Singapore dolla,520:CPF | 301:OPENAI (ChatGPT Subscription)
6578,2026-05-29,2727.27,76,Direct Credit 650646 GLOBAL TRANSPORT /,76:GT insurance | 693:Global Transport & Automotive Insurance Solutions
5903,2026-04-16,-91.92,458,DEBIT PURCHASE USD 69.60 14/04/26 xx-6209 TIMETASTIC WIL RNB05ESND\9 Singapore d,458:Timetastic | 520:CPF
5913,2026-04-18,-194.68,388,DEBIT PURCHASE GBP 109.00 15/04/26 xx-2090 DROPBOX DOCSEND SAN,388:DROPBOX | 386:docsend
5932,2026-04-23,-35.92,301,DEBIT PURCHASE USD 27.30 20/04/26 xx-3180 OPENAI SAN RNB05ESND\12 Singapore doll,520:CPF | 301:OPENAI (ChatGPT Subscription)
6967,2026-02-18,5000.0,76,Direct Credit 650646 GLOBAL TRANSPORT /,76:GT insurance | 693:Global Transport & Automotive Insurance Solutions
6100,2026-06-04,-1181.35,398,DEBIT PURCHASE EUR 765.26 01/06/26 xx-8472 GOOGLE*WORKSPACE DRIVE CC RNB05ESNC\2,398:Google | 520:CPF
7031,2026-03-07,-59.99,302,Intuit Quickbooks Sydney AU Card xx1999 Value Date 04/03/2026,433:Quickbooks | 302:Intuit Quickbooks Sydney AU
7055,2026-03-13,-1300.0,326,Payrix*WOTSO HOLDINGS WOTSO HOLDINGS--22,326:IPPY*WOTSO HOLDINGS | 327:Payrix*WOTSO HOLDINGS
10102,2026-03-04,-3909.3,126,Sent money to Rohde Smash Repairs,126:Rohde Smash Repair | 652:Rohde Smash Repairs
5526,2026-02-14,-21.5,335,DEBIT PURCHASE USD 16.44 11/02/26 xx-6839 ANTHROPIC SAN RNB05ESNC\11 Singapore d,335:ANTHROPIC | 520:CPF
6371,2026-04-14,-84.0,302,Intuit Quickbooks Sydney AU Card xx1999 Value Date 10/04/2026,433:Quickbooks | 302:Intuit Quickbooks Sydney AU
5421,2026-01-30,-65.63,413,DEBIT PURCHASE USD 50.00 28/01/26 xx-1247 LOOM SUBSCRIPTION AUS RNB05ESNC\21 Sin,413:Loom | 520:CPF
5405,2026-01-29,-16.39,335,DEBIT PURCHASE USD 12.48 26/01/26 xx-6839 ANTHROPIC SAN RNB05ESNC\19 Singapore d,335:ANTHROPIC | 520:CPF
5257,2026-01-04,-2771.78,398,DEBIT PURCHASE 02/01/26 xx-8724 Google ADS9173773995 Sin,399:Google Ads | 398:Google
5273,2026-01-06,-57.0,302,DEBIT PURCHASE 03/01/26 xx-8724 INTUIT *QBooks Online SAN,433:Quickbooks | 302:Intuit Quickbooks Sydney AU
5274,2026-01-06,-3000.0,398,DEBIT PURCHASE 04/01/26 xx-8724 Google ADS9173773995 Sin,399:Google Ads | 398:Google
5397,2026-01-28,-79.45,315,DEBIT PURCHASE USD 60.00 25/01/26 xx-8744 CIRCLECI.COM SAN RNB05ESNC\18 Singapor,315:CIRCLECI.COM | 520:CPF
5534,2026-02-15,-21.41,335,DEBIT PURCHASE USD 16.36 12/02/26 xx-6839 ANTHROPIC SAN RNB05ESNC\12 Singapore d,335:ANTHROPIC | 520:CPF
5297,2026-01-10,-3000.0,398,DEBIT PURCHASE 08/01/26 xx-8724 Google ADS9173773995 Sin,399:Google Ads | 398:Google
5312,2026-01-14,-3000.0,398,DEBIT PURCHASE 12/01/26 xx-8724 Google ADS9173773995 Sin,399:Google Ads | 398:Google
5389,2026-01-27,-85.16,462,"DEBIT PURCHASE USD 64.31 25/01/26 xx-7293 TYPEFORM, S.L. BAR RNB05ESNC\17 Singap",462:Typeform | 520:CPF
5326,2026-01-16,-3000.0,398,DEBIT PURCHASE 14/01/26 xx-8724 Google ADS9173773995 Sin,399:Google Ads | 398:Google
5343,2026-01-18,-195.22,386,DEBIT PURCHASE GBP 109.00 15/01/26 xx-2090 DROPBOX DOCSEND SAN,388:DROPBOX | 386:docsend
5342,2026-01-18,-57.0,302,DEBIT PURCHASE 15/01/26 xx-8724 INTUIT *QBooks Online SAN,433:Quickbooks | 302:Intuit Quickbooks Sydney AU
5393,2026-01-28,-6000.0,398,DEBIT PURCHASE 26/01/26 xx-8724 Google ADS9173773995 Sin,399:Google Ads | 398:Google
5379,2026-01-26,-79.45,378,DEBIT PURCHASE USD 60.00 23/01/26 xx-7950 CALENDLY BUF RNB05ESNC\16 Singapore do,378:Calendly | 520:CPF
5430,2026-01-31,-35.82,301,DEBIT PURCHASE USD 27.42 28/01/26 xx-3180 OPENAI SAN RNB05ESNC\22 Singapore doll,520:CPF | 301:OPENAI (ChatGPT Subscription)
5426,2026-01-31,-3000.0,398,DEBIT PURCHASE 28/01/26 xx-8724 Google ADS9173773995 Sin,399:Google Ads | 398:Google
6497,2026-05-13,-84.0,302,Intuit Quickbooks Sydney AU Card xx1999 Value Date 10/05/2026,433:Quickbooks | 302:Intuit Quickbooks Sydney AU
5371,2026-01-25,-36.28,301,DEBIT PURCHASE USD 27.34 22/01/26 xx-3180 OPENAI SAN RNB05ESNC\15 Singapore doll,520:CPF | 301:OPENAI (ChatGPT Subscription)
5354,2026-01-20,-29.04,391,DEBIT PURCHASE USD 21.80 17/01/26 xx-4109 FIGMA SAN RNB05ESNC\13 Singapore dolla,391:FIGMA | 520:CPF
5352,2026-01-19,-78.99,302,DEBIT PURCHASE 16/01/26 xx-8724 INTUIT *QBooks Online SAN,433:Quickbooks | 302:Intuit Quickbooks Sydney AU
6719,2026-01-07,-59.99,302,Intuit Quickbooks Sydney AU Card xx9039 Value Date 05/01/2026,433:Quickbooks | 302:Intuit Quickbooks Sydney AU
9884,2026-01-28,-123.5,163,Sent money to Craig letters,163:Craig Anthony Letters | 696:Craig Letters
9924,2026-02-04,-247.0,163,Sent money to Craig letters,163:Craig Anthony Letters | 696:Craig Letters
10057,2026-02-27,-634.5,179,Sent money to Raymund Jay Juliano Recto,179:Raymund Jay Juliano Recto | 253:Jay Balan
10887,2026-06-28,-797.5,175,Sent money to Riezel Basilio Villanueva,175:Riezel Basilio Villanueva | 654:Riezel Basilio Villanueva
10065,2026-02-27,-3495.98,163,Sent money to Craig letters,163:Craig Anthony Letters | 696:Craig Letters
7086,2026-03-18,725.65,338,Refund Purchase gotogate1121872211,338:gotogate | 341:Refund Purchase
10206,2026-03-19,-253.16,163,Sent money to Craig letters,163:Craig Anthony Letters | 696:Craig Letters
10245,2026-03-27,-3610.18,163,Sent money to Craig letters,163:Craig Anthony Letters | 696:Craig Letters
10264,2026-03-27,-797.5,175,Sent money to Riezel Basilio Villanueva,175:Riezel Basilio Villanueva | 654:Riezel Basilio Villanueva
10314,2026-04-06,-225.56,163,Sent money to Craig letters,163:Craig Anthony Letters | 696:Craig Letters
10488,2026-04-27,-2787.32,163,Sent money to Craig letters,163:Craig Anthony Letters | 696:Craig Letters
10581,2026-05-12,-286.37,163,Sent money to Craig letters,163:Craig Anthony Letters | 696:Craig Letters
10832,2026-06-19,-411.75,452,Card transaction of 288.00 USD issued by Superblog.ai PAMUR,452:Superblog | 453:Superblog.ai
10910,2026-06-28,-4138.76,163,Sent money to Craig letters,163:Craig Anthony Letters | 696:Craig Letters
11006,2026-07-15,-786.5,175,Sent money to Riezel Basilio Villanueva,175:Riezel Basilio Villanueva | 654:Riezel Basilio Villanueva
11036,2026-07-22,-12.9,452,Card transaction of 9.00 USD issued by Superblog.ai PAMUR,452:Superblog | 453:Superblog.ai
11037,2026-07-22,-12.9,452,Card transaction of 9.00 USD issued by Superblog.ai PAMUR,452:Superblog | 453:Superblog.ai
11087,2026-01-15,-450.0,179,Sent money to Raymund Jay Juliano Recto,179:Raymund Jay Juliano Recto | 253:Jay Balan
6208,2026-06-27,-115.55,462,"DEBIT PURCHASE USD 86.11 25/06/26 xx-7293 TYPEFORM, S.L. BAR RNB05ESNC\14 Singap",462:Typeform | 520:CPF
5550,2026-02-16,-1243.69,148,DEBIT PURCHASE USD 950.26 14/02/26 xx-8724 Twilio VSKVSLK5T25SRT9 San RNB05ESNC\,148:Twilio | 520:CPF
5573,2026-02-18,-57.0,302,DEBIT PURCHASE 15/02/26 xx-8724 INTUIT *QBooks Online SAN,433:Quickbooks | 302:Intuit Quickbooks Sydney AU
6199,2026-06-26,-6.75,641,DEBIT PURCHASE USD 5.04 23/06/26 xx-4180 WHALE RON RNB05ESNC\13 Singapore dollar,641:Whale Ron | 520:CPF
5574,2026-02-18,-3000.0,399,DEBIT PURCHASE 16/02/26 xx-8724 Google ADS9173773995 Sin,399:Google Ads | 398:Google
6190,2026-06-25,-40.09,375,DEBIT PURCHASE USD 30.00 22/06/26 xx-4180 BIRTHDAYBOT NEW RNB05ESNC\12 Singapore,375:Birthdaybot | 520:CPF
5250,2026-01-02,-14.49,335,DEBIT PURCHASE USD 10.91 31/12/25 xx-6839 ANTHROPIC SAN RNB05ESNC\1 Singapore do,335:ANTHROPIC | 520:CPF
5259,2026-01-04,-1460.05,398,DEBIT PURCHASE EUR 933.54 01/01/26 xx-8724 GOOGLE*WORKSPACE DRIVE CC RNB05ESNC\2,398:Google | 520:CPF
6171,2026-06-21,-36.37,301,DEBIT PURCHASE USD 27.28 18/06/26 xx-3180 OPENAI SAN RNB05ESNC\10 Singapore doll,520:CPF | 301:OPENAI (ChatGPT Subscription)
5267,2026-01-05,-2193.19,398,DEBIT PURCHASE 02/01/26 xx-8724 Google CLOUD J3Cx Sin RNB05ESNC\3 Singapore doll,398:Google | 520:CPF
5276,2026-01-06,-36.23,301,DEBIT PURCHASE USD 27.26 04/01/26 xx-3180 OPENAI SAN RNB05ESNC\4 Singapore dolla,520:CPF | 301:OPENAI (ChatGPT Subscription)
5293,2026-01-09,-38.46,468,DEBIT PURCHASE USD 29.00 07/01/26 xx-3136 XERO GLOBAL IN-6351452 WEL RNB05ESNC\6,468:Xero | 520:CPF
6143,2026-06-16,-26.63,301,DEBIT PURCHASE USD 20.00 13/06/26 xx-3180 OPENAI *CHATGPT SUBSCR SAN RNB05ESNC\7,520:CPF | 301:OPENAI (ChatGPT Subscription)
5578,2026-02-18,-26.63,335,DEBIT PURCHASE USD 20.39 15/02/26 xx-6839 ANTHROPIC SAN RNB05ESNC\17 Singapore d,335:ANTHROPIC | 520:CPF
6162,2026-06-18,-57.0,302,DEBIT PURCHASE 15/06/26 xx-8724 INTUIT *QBooks Online SAN RNB05ESNC\9 Singapore ,433:Quickbooks | 302:Intuit Quickbooks Sydney AU | 520:CPF
5605,2026-02-21,-21.83,335,DEBIT PURCHASE USD 16.70 18/02/26 xx-6839 ANTHROPIC SAN RNB05ESNC\20 Singapore d,335:ANTHROPIC | 520:CPF
5629,2026-02-21,-22.04,335,DEBIT PURCHASE USD 16.86 18/02/26 xx-6839 ANTHROPIC SAN RNB05ESNC\23 Singapore d,335:ANTHROPIC | 520:CPF
5630,2026-02-21,-3000.0,399,DEBIT PURCHASE 19/02/26 xx-8724 Google ADS9173773995 Sin,399:Google Ads | 398:Google
5650,2026-02-25,-3000.0,399,DEBIT PURCHASE 22/02/26 xx-8724 Google ADS9173773995 Sin,399:Google Ads | 398:Google
5690,2026-03-04,-1243.38,148,DEBIT PURCHASE USD 950.02 01/03/26 xx-4699 Twilio K24H6GZ9L3XLCCB San RNB05ESND\,148:Twilio | 520:CPF
