drive_id,name,outcome,invoice_id,is_invoice,document_type,entity_id,entity_source,counterparty_id,vendor_flag,coa,duplicate_of,timestamp
Abwin Leasing INV 509-INV25_30467 GBL1750A[1].pdf,Abwin Leasing INV 509-INV25_30467 GBL1750A[1].pdf,covered,,,,,,,,,inv#578,2026-07-30T23:38:37.045272
Copy of Nick_s invoices (1)(2).pdf,Copy of Nick_s invoices (1)(2).pdf,covered,,,,,,,,,inv#1283,2026-07-30T23:38:37.074207
Invoice INV-1692.pdf,Invoice INV-1692.pdf,covered,,,,,,,,,inv#1150,2026-07-30T23:38:37.102166
1RS2TN storage fee (1).jpg,1RS2TN storage fee (1).jpg,covered,,,,,,,,,inv#902,2026-07-30T23:38:37.130190
image0 (4) (1).jpeg,image0 (4) (1).jpeg,covered,,,,,,,,,inv#780,2026-07-30T23:38:37.153976
Excess Request (8).pdf,Excess Request (8).pdf,covered,,,,,,,,,inv#864,2026-07-30T23:38:37.181322
AU-MRKV030370B6 TaxInvoice (1).pdf,AU-MRKV030370B6 TaxInvoice (1).pdf,covered,,,,,,,,,inv#1221,2026-07-30T23:38:37.212368
New Claim Acknowledgement QJK18.pdf,New Claim Acknowledgement QJK18.pdf,covered,,,,,,,,,inv#1110,2026-07-30T23:38:37.241714
DriveMate - Momberg.pdf,DriveMate - Momberg.pdf,covered,,,,,,,,,inv#697,2026-07-30T23:38:37.272167
Invoice INV-0573.pdf,Invoice INV-0573.pdf,covered,,,,,,,,,inv#892,2026-07-30T23:38:37.301491
VL40283833.pdf,VL40283833.pdf,covered,,,,,,,,,inv#843,2026-07-30T23:38:37.328288
EUG42E - Repo invoice.pdf,EUG42E - Repo invoice.pdf,covered,,,,,,,,,inv#1242,2026-07-30T23:38:37.357526
Drive Lah Inv_179.pdf,Drive Lah Inv_179.pdf,covered,,,,,,,,,inv#820,2026-07-30T23:38:37.385226
Towing Cost Mill Park .pdf,Towing Cost Mill Park .pdf,covered,,,,,,,,,inv#1100,2026-07-30T23:38:37.419042
CEV91E_Fee invoice.pdf,CEV91E_Fee invoice.pdf,covered,,,,,,,,,inv#1234,2026-07-30T23:38:37.445583
FTI1100002984.pdf,FTI1100002984.pdf,covered,,,,,,,,,inv#586,2026-07-30T23:38:37.473506
Invoice INV-1447.pdf,Invoice INV-1447.pdf,covered,,,,,,,,,inv#1512,2026-07-30T23:38:37.498268
26.0043.pdf,26.0043.pdf,stray_loaded,1593,True,tax_invoice,3,bill_to,28,MATCHED,6500,,2026-07-30T23:38:37.656582
INV00051376.pdf,INV00051376.pdf,stray_loaded,1594,True,tax_invoice,3,bill_to,651,MATCHED,5032,,2026-07-30T23:38:52.643293
1774066899485-4024239_20260306_FEE-INVOICE-1.pdf,1774066899485-4024239_20260306_FEE-INVOICE-1.pdf,covered,,,,,,,,,inv#385,2026-07-30T23:39:05.583196
INVSGP12323.pdf,INVSGP12323.pdf,covered,,,,,,,,,inv#1546,2026-07-30T23:39:05.607312
SGIN24-658958.pdf,SGIN24-658958.pdf,stray_loaded,1595,True,tax_invoice,2,bill_to,355,MATCHED,,,2026-07-30T23:39:05.635766
1777527894392-74899779_Fee-invoice.pdf,1777527894392-74899779_Fee-invoice.pdf,covered,,,,,,,,,inv#329,2026-07-30T23:39:21.655704
TP EXCESS RECOVERY LETTER M2508802.pdf,TP EXCESS RECOVERY LETTER M2508802.pdf,not_invoice,1596,False,letter,2,currency,144,MATCHED,,,2026-07-30T23:39:21.688458
901141.pdf,901141.pdf,stray_loaded,1597,True,invoice,2,bill_to,355,MATCHED,,,2026-07-30T23:39:37.901925
Screenshot 2025-03-27 at 11.20.43 am.png,Screenshot 2025-03-27 at 11.20.43 am.png,covered,,,,,,,,,inv#992,2026-07-30T23:39:53.379244
Tax Invoice #51506 (1).pdf,Tax Invoice #51506 (1).pdf,covered,,,,,,,,,inv#799,2026-07-30T23:39:53.407579
SGIN25-279113.pdf,SGIN25-279113.pdf,covered,,,,,,,,,inv#712,2026-07-30T23:39:53.438035
KWI202303453426.pdf,KWI202303453426.pdf,stray_loaded,1598,True,invoice,2,bill_to,98,MATCHED,5030,,2026-07-30T23:39:53.466809
Estimate 60366.pdf (1).pdf,Estimate 60366.pdf (1).pdf,covered,,,,,,,,,inv#1365,2026-07-30T23:40:08.956162
5472357_FEE INVOICE.pdf,5472357_FEE INVOICE.pdf,covered,,,,,,,,,inv#858,2026-07-30T23:40:08.984813
Invoice INV-3190636.pdf,Invoice INV-3190636.pdf,stray_loaded,1599,True,tax_invoice,3,bill_to,142,MATCHED,5030,,2026-07-30T23:40:09.014788
Motor Fleet Renewal (June) Invoice 230555 - DRIVELA.pdf,Motor Fleet Renewal (June) Invoice 230555 - DRIVELA.pdf,covered,,,,,,,,,inv#673,2026-07-30T23:40:24.593071
1982_Drive mate_Additional Creative.pdf,1982_Drive mate_Additional Creative.pdf,covered,,,,,,,,,inv#1305,2026-07-30T23:40:24.620702
Invoice INV-6117.pdf,Invoice INV-6117.pdf,covered,,,,,,,,,inv#1072,2026-07-30T23:40:24.648774
Additional Excess Request VL40277007.pdf,Additional Excess Request VL40277007.pdf,covered,,,,,,,,,inv#1066,2026-07-30T23:40:24.675105
Invoice-E5F15183-0002.pdf,Invoice-E5F15183-0002.pdf,covered,,,,,,,,,inv#1103,2026-07-30T23:40:24.701979
Tax Invoice #37619.pdf,Tax Invoice #37619.pdf,covered,,,,,,,,,inv#872,2026-07-30T23:40:24.730079
ACE-INV250165.pdf,ACE-INV250165.pdf,covered,,,,,,,,,inv#886,2026-07-30T23:40:24.758537
Excess Request 074TRE $300.pdf,Excess Request 074TRE $300.pdf,covered,,,,,,,,,inv#1064,2026-07-30T23:40:24.785904
Inv_18482.pdf,Inv_18482.pdf,covered,,,,,,,,,inv#511,2026-07-30T23:40:24.813835
YUU354 - Invoice from Melbourne Prestige.jpg,YUU354 - Invoice from Melbourne Prestige.jpg,covered,,,,,,,,,inv#834,2026-07-30T23:40:24.836166
INV 409-INV24-25622 GBL1750A (1).pdf,INV 409-INV24-25622 GBL1750A (1).pdf,covered,,,,,,,,,inv#1367,2026-07-30T23:40:24.865390
New Claim Acknowledgement (4).pdf,New Claim Acknowledgement (4).pdf,covered,,,,,,,,,inv#880,2026-07-30T23:40:24.892630
1032907_1.PDF,1032907_1.PDF,covered,,,,,,,,,inv#718,2026-07-30T23:40:24.918139
Excess Request (17).pdf,Excess Request (17).pdf,stray_loaded,1600,True,tax_invoice,3,bill_to,,QUARANTINE,,,2026-07-30T23:40:24.945094
1770272896364-R204354.pdf,1770272896364-R204354.pdf,covered,,,,,,,,,inv#454,2026-07-30T23:40:40.859581
1ZK7TD - Repair Invoice 18520.jpg,1ZK7TD - Repair Invoice 18520.jpg,covered,,,,,,,,,inv#700,2026-07-30T23:40:40.887648
901223.pdf,901223.pdf,covered,,,,,,,,,inv#1023,2026-07-30T23:40:40.916728
FTI00092086 (3).pdf,FTI00092086 (3).pdf,covered,,,,,,,,,inv#889,2026-07-30T23:40:40.945467
INV0000296627 Oct inv.pdf,INV0000296627 Oct inv.pdf,stray_loaded,1601,True,tax_invoice,3,bill_to,509,MATCHED,5060,,2026-07-30T23:40:40.974526
Drivemate Invoice FT00000011 (1).pdf,Drivemate Invoice FT00000011 (1).pdf,duplicate,,,,,,,,,inv#738,2026-07-30T23:40:54.428066
Invoice_CON10093_INVSGP13338.pdf,Invoice_CON10093_INVSGP13338.pdf,covered,,,,,,,,,inv#645,2026-07-30T23:41:08.274953
AU-MRKV031878ED TaxInvoice (1).pdf,AU-MRKV031878ED TaxInvoice (1).pdf,covered,,,,,,,,,inv#917,2026-07-30T23:41:08.301551
Invoice B25030100132.pdf,Invoice B25030100132.pdf,covered,,,,,,,,,inv#1058,2026-07-30T23:41:08.330378
Invoice FINV7236.pdf,Invoice FINV7236.pdf,stray_loaded,1603,True,tax_invoice,3,bill_to,671,MATCHED,5032,,2026-07-30T23:41:08.359864
DRIVE MATE FTI00089337.pdf,DRIVE MATE FTI00089337.pdf,covered,,,,,,,,,inv#1142,2026-07-30T23:41:21.564925
SGIN25-776148.pdf,SGIN25-776148.pdf,covered,,,,,,,,,inv#493,2026-07-30T23:41:21.592746
Invoice_CON08122_INVSGP12892 (1).pdf,Invoice_CON08122_INVSGP12892 (1).pdf,stray_loaded,1604,True,tax_invoice,1,default,116,MATCHED,6701,,2026-07-30T23:41:21.620331
AWS (1).PNG,AWS (1).PNG,covered,,,,,,,,,inv#1168,2026-07-30T23:41:27.991318
TAX INVOICE DM012 - MATHEW CROWLEY - 1DOM401 (21.03.25).pdf,TAX INVOICE DM012 - MATHEW CROWLEY - 1DOM401 (21.03.25).pdf,covered,,,,,,,,,inv#1029,2026-07-30T23:41:28.018524
TAX INVOICE DM013 - CHARLOTTE WEIR - 1EFH077 (10.07.25) (1).pdf,TAX INVOICE DM013 - CHARLOTTE WEIR - 1EFH077 (10.07.25) (1).pdf,covered,,,,,,,,,inv#694,2026-07-30T23:41:28.046477
1HJV642 - Repo invoice.pdf,1HJV642 - Repo invoice.pdf,covered,,,,,,,,,inv#1237,2026-07-30T23:41:28.075053
MELBOURNE PRESTIGE CENTRE  CAMRY INNVOICE (1).pdf,MELBOURNE PRESTIGE CENTRE  CAMRY INNVOICE (1).pdf,covered,,,,,,,,,inv#966,2026-07-30T23:41:28.103080
AU-404381103145.pdf,AU-404381103145.pdf,covered,,,,,,,,,inv#405,2026-07-30T23:41:28.131871
freetexttaxinvoice (1).pdf,freetexttaxinvoice (1).pdf,covered,,,,,,,,,inv#1298,2026-07-30T23:41:28.159951
KWI202303421878.pdf,KWI202303421878.pdf,covered,,,,,,,,,inv#646,2026-07-30T23:41:28.188435
110225110502 - May-24.pdf,110225110502 - May-24.pdf,covered,,,,,,,,,inv#1370,2026-07-30T23:41:28.216844
1781745270126-Repair-invoice-1.pdf,1781745270126-Repair-invoice-1.pdf,not_invoice,,,other,,,,,,,2026-07-30T23:41:28.244922
Invoice-INV-7115.pdf,Invoice-INV-7115.pdf,covered,,,,,,,,,inv#529,2026-07-30T23:41:29.147656
2121930.4.24-14.10.txt,2121930.4.24-14.10.txt,covered,,,,,,,,,inv#1504,2026-07-30T23:41:29.176008
Invoice - RS - Drive Lah Ventures Holding Pte Ltd - 36.pdf,Invoice - RS - Drive Lah Ventures Holding Pte Ltd - 36.pdf,covered,,,,,,,,,inv#1330,2026-07-30T23:41:29.203819
110226110049 - DRIVE LAH PTE LTD.pdf,110226110049 - DRIVE LAH PTE LTD.pdf,covered,,,,,,,,,inv#705,2026-07-30T23:41:29.233498
25.0101 (2).pdf,25.0101 (2).pdf,covered,,,,,,,,,inv#895,2026-07-30T23:41:29.262556
Invoice INV-3190541 (1).pdf,Invoice INV-3190541 (1).pdf,covered,,,,,,,,,inv#1248,2026-07-30T23:41:29.291346
09209271 (1).pdf,09209271 (1).pdf,covered,,,,,,,,,inv#1490,2026-07-30T23:41:29.313616
5123420472-04 DN.pdf,5123420472-04 DN.pdf,covered,,,,,,,,,inv#396,2026-07-30T23:41:29.341553
8456 drivelah (1) (1).pdf,8456 drivelah (1) (1).pdf,covered,,,,,,,,,inv#801,2026-07-30T23:41:29.368951
DRIVE MATE AUSTRALIA PTY LTD FTI00091530.pdf,DRIVE MATE AUSTRALIA PTY LTD FTI00091530.pdf,covered,,,,,,,,,inv#941,2026-07-30T23:41:29.397371
INV02210390_A00062140_07032024.pdf,INV02210390_A00062140_07032024.pdf,covered,,,,,,,,,inv#1432,2026-07-30T23:41:29.424377
Drive Lah April - June 2025 Super.pdf,Drive Lah April - June 2025 Super.pdf,covered,,,,,,,,,inv#585,2026-07-30T23:41:29.452287
J &D Tax Invoice #14482 (1) (1).pdf,J &D Tax Invoice #14482 (1) (1).pdf,covered,,,,,,,,,inv#771,2026-07-30T23:41:29.479848
Tax Invoice #13254 (1).pdf,Tax Invoice #13254 (1).pdf,covered,,,,,,,,,inv#911,2026-07-30T23:41:29.506448
SND2179T  - FL INV 01 RMS.pdf,SND2179T  - FL INV 01 RMS.pdf,covered,,,,,,,,,inv#861,2026-07-30T23:41:29.534384
Motor Fleet Renewal (July)  Invoice - DRIVELA - 231196.pdf,Motor Fleet Renewal (July)  Invoice - DRIVELA - 231196.pdf,covered,,,,,,,,,inv#672,2026-07-30T23:41:29.562387
1ZV3BL- Melbourne Prestige Invoice 136- $2915 (1).jpeg,1ZV3BL- Melbourne Prestige Invoice 136- $2915 (1).jpeg,covered,,,,,,,,,inv#1092,2026-07-30T23:41:29.589931
1218.png,1218.png,not_invoice,,,other,,,,,,,2026-07-30T23:41:29.618313
Alti - Apr2026.png,Alti - Apr2026.png,covered,,,,,,,,,inv#309,2026-07-30T23:41:33.006392
INV 411-INV24_26439 GBL1750A.pdf,INV 411-INV24_26439 GBL1750A.pdf,covered,,,,,,,,,inv#1306,2026-07-30T23:41:33.033391
Excess Request (4).pdf,Excess Request (4).pdf,covered,,,,,,,,,inv#1338,2026-07-30T23:41:33.059266
SGIN26-144226.pdf,SGIN26-144226.pdf,covered,,,,,,,,,inv#375,2026-07-30T23:41:33.086717
AU-MRKV033513A5 - TaxInvoice.pdf,AU-MRKV033513A5 - TaxInvoice.pdf,stray_loaded,1605,True,tax_invoice,3,bill_to,117,MATCHED,5066,,2026-07-30T23:41:33.115490
WhatsApp Image 2024-09-06 at 09.42.55.jpeg,WhatsApp Image 2024-09-06 at 09.42.55.jpeg,covered,,,,,,,,,inv#1381,2026-07-30T23:41:48.547377
Invoice INV-3190620.pdf,Invoice INV-3190620.pdf,stray_loaded,1606,True,tax_invoice,3,bill_to,142,MATCHED,5030,,2026-07-30T23:41:48.575203
Invoice - 6805c46a42431ccbe8a9cfef.pdf,Invoice - 6805c46a42431ccbe8a9cfef.pdf,covered,,,,,,,,,inv#899,2026-07-30T23:42:04.015375
FLM - 1ESG871_FEE INVOICE.pdf,FLM - 1ESG871_FEE INVOICE.pdf,stray_loaded,1607,True,tax_invoice,3,bill_to,72,MATCHED,5034,,2026-07-30T23:42:04.043034
inv 2531605.pdf,inv 2531605.pdf,covered,,,,,,,,,inv#479,2026-07-30T23:42:10.453884
Excess Request (21).pdf,Excess Request (21).pdf,stray_loaded,1608,True,tax_invoice,3,bill_to,,QUARANTINE,,,2026-07-30T23:42:10.482366
Screenshot 2024-09-19 at 2.28.08 PM.png,Screenshot 2024-09-19 at 2.28.08 PM.png,covered,,,,,,,,,inv#1362,2026-07-30T23:42:27.186179
URA Violation.pdf,URA Violation.pdf,covered,,,,,,,,,inv#781,2026-07-30T23:42:27.214802
ZUU916 - New Claim Acknowledgement.pdf,ZUU916 - New Claim Acknowledgement.pdf,covered,,,,,,,,,inv#969,2026-07-30T23:42:27.244779
RACQ Sales Invoice.pdf,RACQ Sales Invoice.pdf,covered,,,,,,,,,inv#789,2026-07-30T23:42:27.272992
freetexttaxinvoice (1) (2).pdf,freetexttaxinvoice (1) (2).pdf,covered,,,,,,,,,inv#875,2026-07-30T23:42:27.302441
REPAIR INVOICE.png,REPAIR INVOICE.png,covered,,,,,,,,,inv#591,2026-07-30T23:42:27.330762
1772505808542-TP-EXCESS-RECOVERY-LETTER-M2601073.pdf,1772505808542-TP-EXCESS-RECOVERY-LETTER-M2601073.pdf,covered,,,,,,,,,inv#412,2026-07-30T23:42:27.360795
TOKIO (2).PNG,TOKIO (2).PNG,covered,,,,,,,,,inv#1011,2026-07-30T23:42:27.387562
SHARPS Invoice 75788 (2).pdf,SHARPS Invoice 75788 (2).pdf,covered,,,,,,,,,inv#856,2026-07-30T23:42:27.415689
Tax Invoice #14337 (1).pdf,Tax Invoice #14337 (1).pdf,covered,,,,,,,,,inv#828,2026-07-30T23:42:27.444226
855XAS - FLM Invoice.pdf,855XAS - FLM Invoice.pdf,covered,,,,,,,,,inv#945,2026-07-30T23:42:27.473161
Invoice_99240.pdf,Invoice_99240.pdf,covered,,,,,,,,,inv#1157,2026-07-30T23:42:27.500460
June 2024 Superannuation - Drive Lah Australia Pty Ltd.pdf,June 2024 Superannuation - Drive Lah Australia Pty Ltd.pdf,not_invoice,,,other,,,,,,,2026-07-30T23:42:27.529735
Nick_s invoices (17).pdf,Nick_s invoices (17).pdf,covered,,,,,,,,,inv#1283,2026-07-30T23:42:28.312350
Drivemate Invoice FTM1.pdf,Drivemate Invoice FTM1.pdf,stray_loaded,1609,True,tax_invoice,3,bill_to,509,MATCHED,5060,,2026-07-30T23:42:28.338621
387262923-POLTPD - Proof of Loss TP Direct (1).pdf,387262923-POLTPD - Proof of Loss TP Direct (1).pdf,covered,,,,,,,,,inv#838,2026-07-30T23:42:42.324078
Invoice_CON08122_INVSGP12783.pdf,Invoice_CON08122_INVSGP12783.pdf,covered,,,,,,,,,inv#1174,2026-07-30T23:42:42.353248
FL REPAIR INVOICE.pdf,FL REPAIR INVOICE.pdf,stray_loaded,1610,True,invoice,2,currency,,QUARANTINE,,,2026-07-30T23:42:42.381568
Intercom.pdf,Intercom.pdf,duplicate,,,,,,,,,inv#670,2026-07-30T23:42:57.905908
1773177899011-Invoice_AAU195396_2026-01-29_2026-01-29_55142.pdf,1773177899011-Invoice_AAU195396_2026-01-29_2026-01-29_55142.pdf,covered,,,,,,,,,inv#400,2026-07-30T23:43:14.030812
EBGI-3801762-5253751-1762246702671_EBAOGICLM_SLET_MT.pdf,EBGI-3801762-5253751-1762246702671_EBAOGICLM_SLET_MT.pdf,not_invoice,1612,False,letter,2,bill_to,,QUARANTINE,,,2026-07-30T23:43:14.060789
Invoice_CBMI25060278_M THINEASH S_O MANIMARAN SJY6877Y (1).pdf,Invoice_CBMI25060278_M THINEASH S_O MANIMARAN SJY6877Y (1).pdf,covered,,,,,,,,,inv#774,2026-07-30T23:43:29.319401
CDG May25 RMS.png,CDG May25 RMS.png,not_invoice,,False,spreadsheet_screenshot,,,,,,,2026-07-30T23:43:29.346628
TAX INVOICE DM001 - LAMPROS -  1HXT197 (3.10.24) (1).pdf,TAX INVOICE DM001 - LAMPROS -  1HXT197 (3.10.24) (1).pdf,covered,,,,,,,,,inv#1347,2026-07-30T23:43:43.699490
1219.png,1219.png,not_invoice,,,other,,,,,,,2026-07-30T23:43:43.726500
DRIVE MATE AUSTRALIA PTY LTD FTI00087596.pdf,DRIVE MATE AUSTRALIA PTY LTD FTI00087596.pdf,duplicate,,,,,,,,,inv#1298,2026-07-30T23:43:47.241678
REPAIR INVOICE.jpg,REPAIR INVOICE.jpg,covered,,,,,,,,,inv#854,2026-07-30T23:43:50.389563
DRIVELAH-DEC-$2990.pdf,DRIVELAH-DEC-$2990.pdf,covered,,,,,,,,,inv#1191,2026-07-30T23:43:50.416538
Vin.pdf,Vin.pdf,stray_loaded,1614,True,tax_invoice,2,bill_to,154,MATCHED,5032,,2026-07-30T23:43:50.445321
1ZF2BN_FEE INVOICE.pdf,1ZF2BN_FEE INVOICE.pdf,stray_loaded,1615,True,tax_invoice,3,bill_to,72,MATCHED,5034,,2026-07-30T23:43:57.368157
Invoice_CON06348_INVSGP12382.pdf,Invoice_CON06348_INVSGP12382.pdf,covered,,,,,,,,,inv#1472,2026-07-30T23:44:03.428575
1782006061049-Invoice-INV-3190749.pdf,1782006061049-Invoice-INV-3190749.pdf,covered,,,,,,,,,inv#282,2026-07-30T23:44:03.458116
INV02411469_A00062140_08032025.pdf,INV02411469_A00062140_08032025.pdf,covered,,,,,,,,,inv#648,2026-07-30T23:44:03.486356
SGRFP26-457.pdf,SGRFP26-457.pdf,covered,,,,,,,,,inv#272,2026-07-30T23:44:03.510717
INV24031025_Drive Lah Pte Ltd.pdf,INV24031025_Drive Lah Pte Ltd.pdf,covered,,,,,,,,,inv#1527,2026-07-30T23:44:03.539418
SGIN25-641240.pdf,SGIN25-641240.pdf,covered,,,,,,,,,inv#557,2026-07-30T23:44:03.569440
Excess Request - 1JQ7YF.pdf,Excess Request - 1JQ7YF.pdf,covered,,,,,,,,,inv#1155,2026-07-30T23:44:03.599130
AU-MRKV032902F4 TaxInvoice.pdf,AU-MRKV032902F4 TaxInvoice.pdf,covered,,,,,,,,,inv#599,2026-07-30T23:44:03.626754
Invoice_16066930_150925032959[1].pdf,Invoice_16066930_150925032959[1].pdf,stray_loaded,1616,True,tax_invoice,2,bill_to,55,MATCHED,5032,,2026-07-30T23:44:03.655644
AU-MRKV03104102 TaxInvoice (1).pdf,AU-MRKV03104102 TaxInvoice (1).pdf,covered,,,,,,,,,inv#1101,2026-07-30T23:44:07.298068
DriveMate 20831420.pdf,DriveMate 20831420.pdf,stray_loaded,1617,True,tax_invoice,3,bill_to,,QUARANTINE,,,2026-07-30T23:44:07.327896
Invoice INV-0149.pdf,Invoice INV-0149.pdf,covered,,,,,,,,,inv#1034,2026-07-30T23:44:22.492948
SHARPS Invoice 72449 (1).pdf,SHARPS Invoice 72449 (1).pdf,covered,,,,,,,,,inv#1085,2026-07-30T23:44:22.521025
Invoice INV-3190741.pdf,Invoice INV-3190741.pdf,duplicate,,,,,,,,,inv#269,2026-07-30T23:44:22.563994
Excess Letter _ FLE0015473_20250805052613 (3).pdf,Excess Letter _ FLE0015473_20250805052613 (3).pdf,not_invoice,1619,False,letter,3,bill_to,342,MATCHED,,,2026-07-30T23:44:37.818822
Nick_s invoices (1).pdf,Nick_s invoices (1).pdf,covered,,,,,,,,,inv#1283,2026-07-30T23:44:53.463960
"TAX INVOICE DM008 - ALAVANJA, Tamara - 1DTU426 (13.12.24) (1).pdf","TAX INVOICE DM008 - ALAVANJA, Tamara - 1DTU426 (13.12.24) (1).pdf",covered,,,,,,,,,inv#1190,2026-07-30T23:44:53.507431
5655.jpg,5655.jpg,covered,,,,,,,,,inv#1027,2026-07-30T23:44:53.550109
Invoice_CON08122_INVSGP13076.pdf,Invoice_CON08122_INVSGP13076.pdf,covered,,,,,,,,,inv#726,2026-07-30T23:44:53.604561
VOLKSWAGEN - 12785.pdf,VOLKSWAGEN - 12785.pdf,stray_loaded,1620,True,tax_invoice,3,bill_to,,QUARANTINE,,,2026-07-30T23:44:53.679347
1768289709920-Drive-Lah-Oct-Dec-2025-Super.pdf,1768289709920-Drive-Lah-Oct-Dec-2025-Super.pdf,covered,,,,,,,,,inv#486,2026-07-30T23:45:09.024032
Screenshot 2024-03-28 105729.png,Screenshot 2024-03-28 105729.png,covered,,,,,,,,,inv#1532,2026-07-30T23:45:09.050579
Tax Invoice #17690.pdf,Tax Invoice #17690.pdf,covered,,,,,,,,,inv#528,2026-07-30T23:45:09.078117
Invoice INV-0171.pdf,Invoice INV-0171.pdf,covered,,,,,,,,,inv#815,2026-07-30T23:45:09.105468
"TAX INVOICE DM016 - COBANOVIC, William DM 38531136 (29.09.25).pdf","TAX INVOICE DM016 - COBANOVIC, William DM 38531136 (29.09.25).pdf",stray_loaded,1621,True,tax_invoice,3,bill_to,111,MATCHED,5001,,2026-07-30T23:45:09.132726
1031913.PDF,1031913.PDF,covered,,,,,,,,,inv#887,2026-07-30T23:45:24.483365
SHARPS Invoice 79051.pdf,SHARPS Invoice 79051.pdf,stray_loaded,1622,True,tax_invoice,3,bill_to,132,MATCHED,5025,,2026-07-30T23:45:24.512097
INV23-2440398 (1).pdf,INV23-2440398 (1).pdf,covered,,,,,,,,,inv#1588,2026-07-30T23:45:30.625656
Endorsement Motor Fleet Invoice 225890 - DRIVELA.pdf,Endorsement Motor Fleet Invoice 225890 - DRIVELA.pdf,stray_loaded,1623,True,tax_invoice,3,bill_to,119,MATCHED,5035,,2026-07-30T23:45:30.653248
invoice_202505091746760422.pdf,invoice_202505091746760422.pdf,covered,,,,,,,,,inv#890,2026-07-30T23:45:37.905932
DH62EM - ACTCM Invoice 02025049 - $140.pdf,DH62EM - ACTCM Invoice 02025049 - $140.pdf,covered,,,,,,,,,inv#1082,2026-07-30T23:45:37.934478
Invoice_CON08122_INVSGP12630.pdf,Invoice_CON08122_INVSGP12630.pdf,covered,,,,,,,,,inv#1406,2026-07-30T23:45:37.962238
Excess Request (1) (2).pdf,Excess Request (1) (2).pdf,covered,,,,,,,,,inv#927,2026-07-30T23:45:37.990850
AU-MRKV03398706 - TaxInvoice.pdf,AU-MRKV03398706 - TaxInvoice.pdf,stray_loaded,1624,True,tax_invoice,3,bill_to,117,MATCHED,5066,,2026-07-30T23:45:38.019132
