View,Mkt,Type,Classification,Wired to / why,My Remarks
view_SG_a_subscription_flexplus_invoiced,SG,a,USE — economic-events,subscription_flexplus→Cr4002/Dr1200,
view_SG_a_subscription_insurance_invoiced,SG,a,USE — economic-events,subscription_insurance→Cr4011/Dr1200,
view_SG_a_subscription_invoiced,SG,a,USE — stripe_sync (retire after task #19),f-string ref in query_builder/importer,
view_SG_a_subscription_other_invoiced,SG,a,USE — economic-events,subscription_other→Cr4025/Dr1200,
view_SG_a_subscription_payment_plan,SG,a,PARKED — receivable pass (FLOW-21),excluded from revenue; future cash pass,
view_SG_a_trip_revenue_earned,SG,a,USE — stripe_sync (retire after task #19),f-string ref in query_builder/importer,
view_SG_a_trip_revenue_p2p,SG,a,USE — economic-events,trip_revenue_p2p→Cr4000/Dr2100,
view_SG_a_trip_revenue_rms,SG,a,USE — economic-events,trip_revenue_rms→Cr4001/Dr2100,
view_SG_c_connect_balance_recon,SG,c,KEEP — recon tooling,"reconciliation, not a JE feeder",
view_SG_c_customer_deposits_received,SG,c,USE — economic-events,deposits_received→Cr2110/Dr1017,
view_SG_c_deposit_refunds,SG,c,USE — economic-events,deposit_refunds→Cr1017/Dr2110,
view_SG_c_disputes,SG,c,USE — economic-events,disputes→Cr1017/Dr5051,
view_SG_c_host_rms_internal_clearing,SG,c,USE — economic-events,connect_internal_transfer→Cr1017/Dr1018,
view_SG_c_host_transfers,SG,c,USE — economic-events,host_transfers_cash→Cr1017/Dr2120,
view_SG_c_incidentals_invoice_paid,SG,c,USE — economic-events,incidentals_paid→Cr1200/Dr1017,
view_SG_c_invoice_payment_refunds,SG,c,USE — economic-events,invoice_refunds→Cr1017/Dr5053,
view_SG_c_stripe_fees_paid,SG,c,USE — economic-events,stripe_fees→Cr1017/Dr5010,
view_SG_c_stripe_payouts,SG,c,USE — stripe_sync (retire after task #19),f-string ref in query_builder/importer,
view_SG_c_stripe_with_transaction_details,SG,c,VERIFY — helper/intermediate,confirm not a live feeder before dropping,
view_SG_c_subscription_invoice_paid,SG,c,USE — economic-events,subscriptions_paid→Cr1200/Dr1017,
view_SG_c_subscription_refunds,SG,c,USE — stripe_sync (retire after task #19),f-string ref in query_builder/importer,
view_SG_c_subscription_refunds_device,SG,c,USE — economic-events,subscription_refunds→Cr1017/Dr5054,
view_SG_c_subscription_refunds_insurance,SG,c,USE — economic-events,subscription_refunds_insurance→Cr1017/Dr5055,
view_SG_c_trip_cash_collected,SG,c,USE — economic-events,trip_charges→Cr2100/Dr1017,
view_SG_c_trip_fuel_cash_collected,SG,c,USE — economic-events,fuel_charges→Cr4023/Dr1017,
view_SG_c_trip_refunds,SG,c,USE — economic-events,trip_refunds→Cr1017/Dr5052,
view_SG_intermediate_non_trip_refunds,SG,intermediate,VERIFY — helper/intermediate,confirm not a live feeder before dropping,
view_core_team_weekly_score,core,team,IGNORE — non-finance,team score view,
view_host_mechanism_map,host,mechanism,USE — stripe_sync (retire after task #19),f-string ref in query_builder/importer,
