id,entity_id,entry_date,description,reference_number,status,created_by,created_at,updated_at,posted_at,posting_user_id,intercompany_group_id,source,source_schedule_id
110,3,2026-03-17,International Transaction Fee Value Date: 13/03/2026,,DRAFT,,2026-03-18 22:40:59.305572,2026-03-18 22:40:59.535146,,,,categorization_engine,
111,3,2026-03-17,OPENAI *CHATGPT SUBSCR OPENAI.COM CA US Card xx1999 USD 165.00 Value Date: 13/03/2026,,DRAFT,,2026-03-18 22:40:59.966409,2026-03-18 22:41:00.314704,,,,categorization_engine,
84,3,2026-03-18,International Transaction Fee Value Date: 15/03/2026,,DRAFT,,2026-03-18 08:11:10.280334,2026-03-18 08:11:10.679034,,,,categorization_engine,
112,3,2026-03-17,International Transaction Fee Value Date: 13/03/2026,,DRAFT,,2026-03-18 22:41:00.654170,2026-03-18 22:41:00.966128,,,,categorization_engine,
85,3,2026-03-18,International Transaction Fee Value Date: 16/03/2026,,DRAFT,,2026-03-18 08:11:11.156739,2026-03-18 08:11:11.510887,,,,categorization_engine,
86,3,2026-03-18,OPENAI *CHATGPT SUBSCR OPENAI.COM CA US Card xx1999 USD 20.00 Value Date: 16/03/2026,,DRAFT,,2026-03-18 08:11:11.825627,2026-03-18 08:11:12.147796,,,,categorization_engine,
113,3,2026-03-17,International Transaction Fee Value Date: 13/03/2026,,DRAFT,,2026-03-18 22:41:01.405882,2026-03-18 22:41:01.644242,,,,categorization_engine,
87,3,2026-03-17,International Transaction Fee Value Date: 13/03/2026,,DRAFT,,2026-03-18 08:11:12.546915,2026-03-18 08:11:12.785842,,,,categorization_engine,
88,3,2026-03-17,OPENAI *CHATGPT SUBSCR OPENAI.COM CA US Card xx1999 USD 165.00 Value Date: 13/03/2026,,DRAFT,,2026-03-18 08:11:13.186161,2026-03-18 08:11:13.422266,,,,categorization_engine,
114,3,2026-03-17,International Transaction Fee Value Date: 14/03/2026,,DRAFT,,2026-03-18 22:41:02.085524,2026-03-18 22:41:02.314884,,,,categorization_engine,
89,3,2026-03-17,International Transaction Fee Value Date: 13/03/2026,,DRAFT,,2026-03-18 08:11:13.849092,2026-03-18 08:11:14.147049,,,,categorization_engine,
90,3,2026-03-17,International Transaction Fee Value Date: 13/03/2026,,DRAFT,,2026-03-18 08:11:14.497067,2026-03-18 08:11:14.798586,,,,categorization_engine,
115,3,2026-03-16,Direct Credit 509196 INSURET CLAIM 1225x1797,,DRAFT,,2026-03-18 22:41:03.105028,2026-03-18 22:41:03.364203,,,,counterparty_default,
91,3,2026-03-17,International Transaction Fee Value Date: 14/03/2026,,DRAFT,,2026-03-18 08:11:15.249251,2026-03-18 08:11:15.478170,,,,categorization_engine,
92,3,2026-03-16,Direct Credit 509196 INSURET CLAIM 1225x1797,,DRAFT,,2026-03-18 08:11:16.217939,2026-03-18 08:11:16.426371,,,,counterparty_default,
116,3,2026-03-14,International Transaction Fee Value Date: 11/03/2026,,DRAFT,,2026-03-18 22:41:08.264782,2026-03-18 22:41:08.515601,,,,categorization_engine,
117,3,2026-03-14,International Transaction Fee Value Date: 11/03/2026,,DRAFT,,2026-03-18 22:41:15.076485,2026-03-18 22:41:15.345978,,,,categorization_engine,
118,3,2026-03-14,Twilio HCRRGNX7DJJFDKB9 844-8144627 CA US Card xx1999 USD 950.45 Value Date: 10/03/2026,,DRAFT,,2026-03-18 22:41:15.814889,2026-03-18 22:41:16.146658,,,,counterparty_default,
120,3,2026-03-18,Refund Purchase gotogate1121872211,,DRAFT,,2026-03-19 10:03:48.110613,2026-03-19 10:03:48.492483,,,,counterparty_default,
121,3,2026-03-18,International Transaction Fee Value Date: 15/03/2026,,DRAFT,,2026-03-19 10:03:48.919256,2026-03-19 10:03:49.301383,,,,categorization_engine,
122,3,2026-03-18,SUPABASE SINGAPORE SG Card xx1999 USD 60.16 Value Date: 15/03/2026,,DRAFT,,2026-03-19 10:03:49.830521,2026-03-19 10:03:50.202841,,,,counterparty_default,
123,3,2026-03-18,International Transaction Fee Value Date: 16/03/2026,,DRAFT,,2026-03-19 10:03:50.724587,2026-03-19 10:03:51.010354,,,,categorization_engine,
124,3,2026-03-18,OPENAI *CHATGPT SUBSCR OPENAI.COM CA US Card xx1999 USD 20.00 Value Date: 16/03/2026,,DRAFT,,2026-03-19 10:03:51.489405,2026-03-19 10:03:51.880713,,,,categorization_engine,
125,3,2026-03-18,INCANTO COFFEE SYDNEY AU Card xx1999 Value Date: 16/03/2026,,DRAFT,,2026-03-19 10:03:52.369844,2026-03-19 10:03:52.740055,,,,counterparty_default,
126,3,2026-03-17,gotogate1121872211,,DRAFT,,2026-03-19 10:03:53.239704,2026-03-19 10:03:53.550541,,,,counterparty_default,
127,3,2026-03-17,Fast Transfer From SPICA DELORINO 01F2AEE6-0019,,DRAFT,,2026-03-19 10:03:54.031697,2026-03-19 10:03:54.391027,,,,counterparty_default,
128,3,2026-03-17,International Transaction Fee Value Date: 13/03/2026,,DRAFT,,2026-03-19 10:03:54.910422,2026-03-19 10:03:55.210904,,,,categorization_engine,
129,3,2026-03-17,OPENAI *CHATGPT SUBSCR OPENAI.COM CA US Card xx1999 USD 165.00 Value Date: 13/03/2026,,DRAFT,,2026-03-19 10:03:55.711606,2026-03-19 10:03:56.101949,,,,categorization_engine,
130,3,2026-03-17,International Transaction Fee Value Date: 13/03/2026,,DRAFT,,2026-03-19 10:03:56.620220,2026-03-19 10:03:57.000285,,,,categorization_engine,
131,3,2026-03-17,RIGHTWORKS WWW.RIGHTWORK NH US Card xx1999 USD 39.00 Value Date: 13/03/2026,,DRAFT,,2026-03-19 10:03:57.491112,2026-03-19 10:03:57.789614,,,,counterparty_default,
132,3,2026-03-17,TRANSPORTFORNSW TAP SYDNEY AU Card xx1999 Value Date: 12/03/2026,,DRAFT,,2026-03-19 10:03:58.280336,2026-03-19 10:03:58.680326,,,,categorization_engine,
133,3,2026-03-17,POST GORDON PS GORDON AU Card xx1999 Value Date: 12/03/2026,,DRAFT,,2026-03-19 10:03:59.179940,2026-03-19 10:03:59.539658,,,,counterparty_default,
134,3,2026-03-17,SQ *STOCK MARKET KITCHEN Sydney AU Card xx1999 Value Date: 13/03/2026,,DRAFT,,2026-03-19 10:04:00.031416,2026-03-19 10:04:00.443791,,,,counterparty_default,
135,3,2026-03-17,International Transaction Fee Value Date: 13/03/2026,,DRAFT,,2026-03-19 10:04:01.070892,2026-03-19 10:04:01.360148,,,,categorization_engine,
136,3,2026-03-17,VERCEL INC. VERCEL.COM CA US Card xx1999 USD 20.00 Value Date: 14/03/2026,,DRAFT,,2026-03-19 10:04:01.860514,2026-03-19 10:04:02.239314,,,,counterparty_default,
137,3,2026-03-17,TRANSPORTFORNSW TAP SYDNEY AU Card xx1999 Value Date: 13/03/2026,,DRAFT,,2026-03-19 10:04:02.770811,2026-03-19 10:04:03.070709,,,,categorization_engine,
138,3,2026-03-17,EDREAMS PRIME M SYDNEY AU Card xx1999 Value Date: 14/03/2026,,DRAFT,,2026-03-19 10:04:03.580025,2026-03-19 10:04:03.950134,,,,counterparty_default,
139,3,2026-03-17,International Transaction Fee Value Date: 14/03/2026,,DRAFT,,2026-03-19 10:04:04.430198,2026-03-19 10:04:04.821573,,,,categorization_engine,
141,3,2026-03-17,TRANSPORTFORNSW TAP SYDNEY AU Card xx1999 Value Date: 14/03/2026,,DRAFT,,2026-03-19 10:04:06.320770,2026-03-19 10:04:06.610914,,,,categorization_engine,
140,3,2026-03-17,CLAUDE.AI SUBSCRIPTION ANTHROPIC.COM CA US Card xx1999 USD 22.00 Value Date: 14/03/2026,,DRAFT,,2026-03-19 10:04:05.320338,2026-03-19 10:04:05.631038,,,,counterparty_default,
293,2,2025-12-01,"JE #1: Trip charges (cash) - Dec 2025 ($250,747.69)",STRIPE-AU-JE01-AU-2025-12,POSTED,,2026-03-23 00:13:52.794667,2026-03-23 00:13:52.794671,,,,stripe,
143,3,2026-03-16,Direct Credit 509196 INSURET CLAIM 1225x1797,,DRAFT,,2026-03-19 10:04:21.400048,2026-03-19 10:04:21.782881,,,,counterparty_default,
144,3,2026-03-14,International Transaction Fee Value Date: 11/03/2026,,DRAFT,,2026-03-19 10:04:22.309662,2026-03-19 10:04:22.693575,,,,categorization_engine,
145,3,2026-03-14,LOVABLE LOVABLE.DEV DE US Card xx1999 USD 25.00 Value Date: 12/03/2026,,DRAFT,,2026-03-19 10:04:23.262286,2026-03-19 10:04:23.621346,,,,counterparty_default,
146,3,2026-03-14,International Transaction Fee Value Date: 11/03/2026,,DRAFT,,2026-03-19 10:04:24.180715,2026-03-19 10:04:24.494786,,,,categorization_engine,
147,3,2026-03-14,Twilio HCRRGNX7DJJFDKB9 844-8144627 CA US Card xx1999 USD 950.45 Value Date: 10/03/2026,,DRAFT,,2026-03-19 10:04:25.050506,2026-03-19 10:04:25.392028,,,,categorization_engine,
148,3,2026-03-14,TRANSPORTFORNSW TAP SYDNEY AU Card xx1999 Value Date: 11/03/2026,,DRAFT,,2026-03-19 10:04:25.951590,2026-03-19 10:04:26.341933,,,,categorization_engine,
149,3,2026-03-13,Payrix*WOTSO HOLDINGS WOTSO HOLDINGS--22,,DRAFT,,2026-03-19 10:04:26.941075,2026-03-19 10:04:27.320586,,,,counterparty_default,
150,3,2026-03-13,Intuit Quickbooks Sydney AU Card xx1999 Value Date: 10/03/2026,,DRAFT,,2026-03-19 10:04:27.852064,2026-03-19 10:04:28.160421,,,,categorization_engine,
151,3,2026-03-13,Caffeine Cartel Sydney AU Card xx1999 Value Date: 11/03/2026,,DRAFT,,2026-03-19 10:04:28.857544,2026-03-19 10:04:29.152909,,,,counterparty_default,
152,3,2026-03-13,Fast Transfer From CROWDER C S reference:cassie crowder,,DRAFT,,2026-03-19 10:04:29.770506,2026-03-19 10:04:30.132040,,,,counterparty_default,
153,3,2026-03-12,Fast Transfer From MEEGAN KING Arrears,,DRAFT,,2026-03-19 10:04:30.750877,2026-03-19 10:04:31.130798,,,,counterparty_default,
154,3,2026-03-12,POST GORDON PS GORDON AU Card xx1999 Value Date: 09/03/2026,,DRAFT,,2026-03-19 10:04:31.730942,2026-03-19 10:04:32.103773,,,,counterparty_default,
155,3,2026-03-18,Trip.com,,DRAFT,,2026-03-19 10:21:52.873286,2026-03-19 10:21:53.421107,,,,counterparty_default,
156,3,2026-03-18,Refund Purchase gotogate1121872211,,DRAFT,,2026-03-19 10:21:54.028976,2026-03-19 10:21:54.411082,,,,counterparty_default,
157,3,2026-03-18,International Transaction Fee Value Date: 15/03/2026,,DRAFT,,2026-03-19 10:21:54.911045,2026-03-19 10:21:55.221881,,,,categorization_engine,
158,3,2026-03-18,SUPABASE SINGAPORE SG Card xx1999 USD 60.16 Value Date: 15/03/2026,,DRAFT,,2026-03-19 10:21:55.701732,2026-03-19 10:21:56.071791,,,,counterparty_default,
159,3,2026-03-18,International Transaction Fee Value Date: 16/03/2026,,DRAFT,,2026-03-19 10:21:56.550611,2026-03-19 10:21:56.902436,,,,categorization_engine,
160,3,2026-03-18,OPENAI *CHATGPT SUBSCR OPENAI.COM CA US Card xx1999 USD 20.00 Value Date: 16/03/2026,,DRAFT,,2026-03-19 10:21:57.424903,2026-03-19 10:21:57.732692,,,,categorization_engine,
161,3,2026-03-18,INCANTO COFFEE SYDNEY AU Card xx1999 Value Date: 16/03/2026,,DRAFT,,2026-03-19 10:21:58.211660,2026-03-19 10:21:58.560750,,,,counterparty_default,
162,3,2026-03-17,gotogate1121872211,,DRAFT,,2026-03-19 10:21:59.081235,2026-03-19 10:21:59.380949,,,,counterparty_default,
163,3,2026-03-17,Fast Transfer From SPICA DELORINO 01F2AEE6-0019,,DRAFT,,2026-03-19 10:21:59.900381,2026-03-19 10:22:00.312037,,,,counterparty_default,
164,3,2026-03-17,International Transaction Fee Value Date: 13/03/2026,,DRAFT,,2026-03-19 10:22:00.861422,2026-03-19 10:22:01.231090,,,,categorization_engine,
165,3,2026-03-17,OPENAI *CHATGPT SUBSCR OPENAI.COM CA US Card xx1999 USD 165.00 Value Date: 13/03/2026,,DRAFT,,2026-03-19 10:22:01.700572,2026-03-19 10:22:02.002331,,,,categorization_engine,
166,3,2026-03-17,International Transaction Fee Value Date: 13/03/2026,,DRAFT,,2026-03-19 10:22:02.480314,2026-03-19 10:22:02.831417,,,,categorization_engine,
167,3,2026-03-17,RIGHTWORKS WWW.RIGHTWORK NH US Card xx1999 USD 39.00 Value Date: 13/03/2026,,DRAFT,,2026-03-19 10:22:03.329621,2026-03-19 10:22:03.724523,,,,counterparty_default,
168,3,2026-03-17,TRANSPORTFORNSW TAP SYDNEY AU Card xx1999 Value Date: 12/03/2026,,DRAFT,,2026-03-19 10:22:04.130789,2026-03-19 10:22:04.501889,,,,categorization_engine,
170,3,2026-03-17,SQ *STOCK MARKET KITCHEN Sydney AU Card xx1999 Value Date: 13/03/2026,,DRAFT,,2026-03-19 10:22:05.861777,2026-03-19 10:22:06.141987,,,,counterparty_default,
171,3,2026-03-17,International Transaction Fee Value Date: 13/03/2026,,DRAFT,,2026-03-19 10:22:06.632925,2026-03-19 10:22:07.002874,,,,categorization_engine,
172,3,2026-03-17,VERCEL INC. VERCEL.COM CA US Card xx1999 USD 20.00 Value Date: 14/03/2026,,DRAFT,,2026-03-19 10:22:07.470539,2026-03-19 10:22:07.773771,,,,counterparty_default,
173,3,2026-03-17,TRANSPORTFORNSW TAP SYDNEY AU Card xx1999 Value Date: 13/03/2026,,DRAFT,,2026-03-19 10:22:08.259979,2026-03-19 10:22:08.658936,,,,categorization_engine,
174,3,2026-03-17,EDREAMS PRIME M SYDNEY AU Card xx1999 Value Date: 14/03/2026,,DRAFT,,2026-03-19 10:22:09.170446,2026-03-19 10:22:09.542328,,,,counterparty_default,
175,3,2026-03-17,International Transaction Fee Value Date: 14/03/2026,,DRAFT,,2026-03-19 10:22:10.051449,2026-03-19 10:22:10.351363,,,,categorization_engine,
176,3,2026-03-17,CLAUDE.AI SUBSCRIPTION ANTHROPIC.COM CA US Card xx1999 USD 22.00 Value Date: 14/03/2026,,DRAFT,,2026-03-19 10:22:10.871917,2026-03-19 10:22:11.232583,,,,counterparty_default,
177,3,2026-03-17,TRANSPORTFORNSW TAP SYDNEY AU Card xx1999 Value Date: 14/03/2026,,DRAFT,,2026-03-19 10:22:11.741807,2026-03-19 10:22:12.113130,,,,categorization_engine,
178,3,2026-03-16,Direct Debit 066429 Linkt Melbourne 228714538-75837720,,DRAFT,,2026-03-19 10:22:12.629457,2026-03-19 10:22:12.955813,,,,categorization_engine,
180,3,2026-03-14,International Transaction Fee Value Date: 11/03/2026,,DRAFT,,2026-03-19 10:22:27.312626,2026-03-19 10:22:27.599838,,,,categorization_engine,
181,3,2026-03-14,LOVABLE LOVABLE.DEV DE US Card xx1999 USD 25.00 Value Date: 12/03/2026,,DRAFT,,2026-03-19 10:22:28.183622,2026-03-19 10:22:28.582813,,,,counterparty_default,
182,3,2026-03-14,International Transaction Fee Value Date: 11/03/2026,,DRAFT,,2026-03-19 10:22:29.093160,2026-03-19 10:22:29.463737,,,,categorization_engine,
183,3,2026-03-14,Twilio HCRRGNX7DJJFDKB9 844-8144627 CA US Card xx1999 USD 950.45 Value Date: 10/03/2026,,DRAFT,,2026-03-19 10:22:29.971981,2026-03-19 10:22:30.285533,,,,categorization_engine,
184,3,2026-03-14,TRANSPORTFORNSW TAP SYDNEY AU Card xx1999 Value Date: 11/03/2026,,DRAFT,,2026-03-19 10:22:30.792541,2026-03-19 10:22:31.152263,,,,categorization_engine,
185,3,2026-03-13,Payrix*WOTSO HOLDINGS WOTSO HOLDINGS--22,,DRAFT,,2026-03-19 10:22:31.712382,2026-03-19 10:22:32.082841,,,,counterparty_default,
