#,txn_date,value_date,amount,running_balance,description
11,2024-10-31,2024-11-01,-1.80,15800.84,DEBIT PURCHASE AUD 2.00 29/10/24 xx-4180 DRIVE MATE MEL
12,2024-10-31,2024-11-01,-1.80,15799.04,DEBIT PURCHASE AUD 2.00 29/10/24 xx-4180 DRIVE MATE MEL
13,2024-10-31,2024-11-01,-1.80,15797.24,DEBIT PURCHASE AUD 2.00 29/10/24 xx-4180 DRIVE MATE MEL
14,2024-10-31,2024-11-01,-1.80,15795.44,DEBIT PURCHASE AUD 2.00 29/10/24 xx-4180 DRIVE MATE MEL
15,2024-10-31,2024-11-01,-1.80,15793.64,"DEBIT PURCHASE AUD 2.00 29/10/24 xx-4180 DRIVE MATE MEL RNB05ESNB\2 Singapore dollar deposits of non-bank depositors and monies and deposits denominated in Singapore dollars under the Supplementary Retirement Scheme are insured by the Singapore Deposit Insurance Corporation, for up to S$100,000 in aggregate per depositor per Scheme member by law. Monies and deposits denominated in Singapore dollars under the CPF Investment Scheme and CPF Retirement Sum Scheme are aggregated and separately insured up to S$100,000 for each depositor per Scheme member. Foreign currency deposits, dual currency investments, structured deposits and other investment products are not insured."
16,2024-10-31,2024-11-01,-1.80,15791.84,DEBIT PURCHASE AUD 2.00 29/10/24 xx-4180 DRIVE MATE MEL
17,2024-10-31,2024-11-01,-1.80,15790.04,DEBIT PURCHASE AUD 2.00 29/10/24 xx-4180 DRIVE MATE MEL
18,2024-10-31,2024-11-01,-1.80,15788.24,DEBIT PURCHASE AUD 2.00 29/10/24 xx-4180 DRIVE MATE MEL
19,2024-10-31,2024-11-01,-1.80,15786.44,DEBIT PURCHASE AUD 2.00 29/10/24 xx-4180 DRIVE MATE MEL
20,2024-10-31,2024-11-01,10.00,15796.44,PAYMENT/TRANSFER OTHR S$ MUSTAFFA KAMAL BIN via PayNow: Mustaffakamal
21,2024-11-01,2024-11-01,-13.63,15782.81,"CCY CONVERSION FEE FOR: 1,362.50 SGD"
22,2024-11-01,2024-11-01,-1362.50,14420.31,DEBIT PURCHASE 29/10/24 xx-8724 FACEBK *6MLDSD4BY Dub
23,2024-11-01,2024-11-01,-273.02,14147.29,DEBIT PURCHASE USD 200.08 29/10/24 xx-4699 Twilio PH223F4B2MRQ4V4 San
24,2024-11-01,2024-11-01,-7.04,14140.25,"DEBIT PURCHASE USD 5.14 29/10/24 xx-4180 WHALE RON RNB05ESNB\3 Singapore dollar deposits of non-bank depositors and monies and deposits denominated in Singapore dollars under the Supplementary Retirement Scheme are insured by the Singapore Deposit Insurance Corporation, for up to S$100,000 in aggregate per depositor per Scheme member by law. Monies and deposits denominated in Singapore dollars under the CPF Investment Scheme and CPF Retirement Sum Scheme are aggregated and separately insured up to S$100,000 for each depositor per Scheme member. Foreign currency deposits, dual currency investments, structured deposits and other investment products are not insured."
25,2024-11-01,2024-11-01,-3.36,14136.89,DEBIT PURCHASE USD 2.46 30/10/24 xx-4180 WHALE RON
26,2024-11-01,2024-11-01,90.14,14227.03,PAYMENT/TRANSFER CSDB STRIPE PAYMENTS SIN
27,2024-11-01,2024-11-01,36.00,14263.03,PAYMENT/TRANSFER CSDB STRIPE PAYMENTS SIN
28,2024-11-01,2024-11-01,168.00,14431.03,PAYMENT/TRANSFER CSDB STRIPE PAYMENTS SIN
29,2024-11-01,2024-11-01,155.61,14586.64,PAYMENT/TRANSFER CSDB STRIPE PAYMENTS SIN
30,2024-11-01,2024-11-01,94.88,14681.52,PAYMENT/TRANSFER CSDB STRIPE PAYMENTS SIN
31,2024-11-01,2024-11-01,4.86,14686.38,PAYMENT/TRANSFER CSDB STRIPE PAYMENTS SIN
32,2024-11-01,2024-11-01,10.00,14696.38,PAYMENT/TRANSFER CSDB STRIPE PAYMENTS SIN
33,2024-11-01,2024-11-01,60.68,14757.06,PAYMENT/TRANSFER CSDB STRIPE PAYMENTS SIN
34,2024-11-01,2024-11-01,43.48,14800.54,"PAYMENT/TRANSFER CSDB STRIPE PAYMENTS SIN RNB05ESNB\4 Singapore dollar deposits of non-bank depositors and monies and deposits denominated in Singapore dollars under the Supplementary Retirement Scheme are insured by the Singapore Deposit Insurance Corporation, for up to S$100,000 in aggregate per depositor per Scheme member by law. Monies and deposits denominated in Singapore dollars under the CPF Investment Scheme and CPF Retirement Sum Scheme are aggregated and separately insured up to S$100,000 for each depositor per Scheme member. Foreign currency deposits, dual currency investments, structured deposits and other investment products are not insured."
35,2024-11-01,2024-11-01,4.60,14805.14,PAYMENT/TRANSFER CSDB STRIPE PAYMENTS SIN
36,2024-11-01,2024-11-01,100.00,14905.14,PAYMENT/TRANSFER CSDB STRIPE PAYMENTS SIN
37,2024-11-01,2024-11-01,72.00,14977.14,PAYMENT/TRANSFER CSDB STRIPE PAYMENTS SIN
38,2024-11-01,2024-11-01,64.52,15041.66,PAYMENT/TRANSFER CSDB STRIPE PAYMENTS SIN
39,2024-11-01,2024-11-01,4.86,15046.52,PAYMENT/TRANSFER CSDB STRIPE PAYMENTS SIN
40,2024-11-01,2024-11-01,5.00,15051.52,PAYMENT/TRANSFER CSDB STRIPE PAYMENTS SIN
41,2024-11-01,2024-11-01,5.12,15056.64,PAYMENT/TRANSFER CSDB STRIPE PAYMENTS SIN
42,2024-11-01,2024-11-01,64.91,15121.55,PAYMENT/TRANSFER CSDB STRIPE PAYMENTS SIN
43,2024-11-01,2024-11-01,924.00,16045.55,PAYMENT/TRANSFER CSDB STRIPE PAYMENTS SIN
44,2024-11-01,2024-11-01,4.65,16050.20,"PAYMENT/TRANSFER CSDB STRIPE PAYMENTS SIN RNB05ESNB\5 Singapore dollar deposits of non-bank depositors and monies and deposits denominated in Singapore dollars under the Supplementary Retirement Scheme are insured by the Singapore Deposit Insurance Corporation, for up to S$100,000 in aggregate per depositor per Scheme member by law. Monies and deposits denominated in Singapore dollars under the CPF Investment Scheme and CPF Retirement Sum Scheme are aggregated and separately insured up to S$100,000 for each depositor per Scheme member. Foreign currency deposits, dual currency investments, structured deposits and other investment products are not insured."
45,2024-11-01,2024-11-01,3.34,16053.54,PAYMENT/TRANSFER CSDB STRIPE PAYMENTS SIN
46,2024-11-01,2024-11-01,37.80,16091.34,PAYMENT/TRANSFER CSDB STRIPE PAYMENTS SIN
47,2024-11-01,2024-11-01,35.68,16127.02,PAYMENT/TRANSFER CSDB STRIPE PAYMENTS SIN
48,2024-11-01,2024-11-01,4.71,16131.73,PAYMENT/TRANSFER CSDB STRIPE PAYMENTS SIN
49,2024-11-01,2024-11-01,40.00,16171.73,FUND TRANSFER via PayNow-UEN from SYUHENDRA BIN OTHR - Drivelah SITI SU
50,2024-11-02,2024-11-02,20.00,16191.73,PAYMENT/TRANSFER OTHR S$ KOH CHUAN QUAN (XU via PayNow: From Mohamed
51,2024-11-03,2024-11-04,-234.09,15957.64,DEBIT PURCHASE USD 170.96 01/11/24 xx-4180 MARLEE (F4S AUSTRALIA) SYD
52,2024-11-03,2024-11-04,-274.45,15683.19,DEBIT PURCHASE USD 200.36 31/10/24 xx-4699 Twilio VQ3ZF2T4R583FKG San
53,2024-11-03,2024-11-04,-67.09,15616.10,"DEBIT PURCHASE USD 49.00 31/10/24 xx-4648 MONDAY.COM 120 RNB05ESNB\6 Singapore dollar deposits of non-bank depositors and monies and deposits denominated in Singapore dollars under the Supplementary Retirement Scheme are insured by the Singapore Deposit Insurance Corporation, for up to S$100,000 in aggregate per depositor per Scheme member by law. Monies and deposits denominated in Singapore dollars under the CPF Investment Scheme and CPF Retirement Sum Scheme are aggregated and separately insured up to S$100,000 for each depositor per Scheme member. Foreign currency deposits, dual currency investments, structured deposits and other investment products are not insured."
54,2024-11-03,2024-11-04,-41.02,15575.08,DEBIT PURCHASE USD 30.00 01/11/24 xx-4109 FIGMA MONTHLY RENEWAL SAN
55,2024-11-03,2024-11-04,-51.95,15523.13,DEBIT PURCHASE USD 38.00 01/11/24 xx-4180 ARCADE SAN
56,2024-11-03,2024-11-04,10.00,15533.13,PAYMENT/TRANSFER OTHR S$ MUSTAFFA KAMAL BIN via PayNow: Mustaffakamal@gmail.co
57,2024-11-04,2024-11-04,-217.95,15315.18,DEBIT PURCHASE USD 159.41 01/11/24 xx-6767 METABASE INC SPR
58,2024-11-04,2024-11-04,-273.89,15041.29,DEBIT PURCHASE USD 200.02 01/11/24 xx-4699 Twilio XPQ5QTQHJBWGBB6 San
59,2024-11-04,2024-11-04,-2489.16,12552.13,DEBIT PURCHASE 01/11/24 xx-8724 GOOGLE*ADS9173773995 CC
60,2024-11-04,2024-11-04,-6478.88,6073.25,DEBIT PURCHASE 01/11/24 xx-8724 GOOGLE*CLOUD ML4X CC
61,2024-11-04,2024-11-04,-1233.37,4839.88,"DEBIT PURCHASE EUR 828.44 01/11/24 xx-8724 GOOGLE*GSUITE DRIVELAH CC RNB05ESNB\7 Singapore dollar deposits of non-bank depositors and monies and deposits denominated in Singapore dollars under the Supplementary Retirement Scheme are insured by the Singapore Deposit Insurance Corporation, for up to S$100,000 in aggregate per depositor per Scheme member by law. Monies and deposits denominated in Singapore dollars under the CPF Investment Scheme and CPF Retirement Sum Scheme are aggregated and separately insured up to S$100,000 for each depositor per Scheme member. Foreign currency deposits, dual currency investments, structured deposits and other investment products are not insured."
62,2024-11-04,2024-11-04,-4117.80,722.08,DEBIT PURCHASE USD 3011.77 01/11/24 xx-5342 SHARETRIBE HEL
63,2024-11-04,2024-11-04,10000.00,10722.08,MEPS RECEIPTS IM241104005062000 TT-SGD10000.00
64,2024-11-04,2024-11-04,8.78,10730.86,PAYMENT/TRANSFER CSDB STRIPE PAYMENTS SIN
65,2024-11-04,2024-11-04,85.00,10815.86,PAYMENT/TRANSFER CSDB STRIPE PAYMENTS SIN
66,2024-11-04,2024-11-04,72.11,10887.97,PAYMENT/TRANSFER CSDB STRIPE PAYMENTS SIN
67,2024-11-04,2024-11-04,3.89,10891.86,PAYMENT/TRANSFER CSDB STRIPE PAYMENTS SIN
68,2024-11-04,2024-11-04,10.13,10901.99,PAYMENT/TRANSFER CSDB STRIPE PAYMENTS SIN
69,2024-11-04,2024-11-04,187.87,11089.86,PAYMENT/TRANSFER CSDB STRIPE PAYMENTS SIN
70,2024-11-04,2024-11-04,41.18,11131.04,PAYMENT/TRANSFER CSDB STRIPE PAYMENTS SIN
71,2024-11-04,2024-11-04,80.65,11211.69,"PAYMENT/TRANSFER CSDB STRIPE PAYMENTS SIN RNB05ESNB\8 Singapore dollar deposits of non-bank depositors and monies and deposits denominated in Singapore dollars under the Supplementary Retirement Scheme are insured by the Singapore Deposit Insurance Corporation, for up to S$100,000 in aggregate per depositor per Scheme member by law. Monies and deposits denominated in Singapore dollars under the CPF Investment Scheme and CPF Retirement Sum Scheme are aggregated and separately insured up to S$100,000 for each depositor per Scheme member. Foreign currency deposits, dual currency investments, structured deposits and other investment products are not insured."
72,2024-11-04,2024-11-04,85.80,11297.49,PAYMENT/TRANSFER CSDB STRIPE PAYMENTS SIN
73,2024-11-04,2024-11-04,95.00,11392.49,PAYMENT/TRANSFER CSDB STRIPE PAYMENTS SIN
74,2024-11-04,2024-11-04,159.40,11551.89,PAYMENT/TRANSFER CSDB STRIPE PAYMENTS SIN
75,2024-11-04,2024-11-04,85.00,11636.89,PAYMENT/TRANSFER CSDB STRIPE PAYMENTS SIN
76,2024-11-04,2024-11-04,9.55,11646.44,PAYMENT/TRANSFER CSDB STRIPE PAYMENTS SIN DRVLAHldTwM bczI
77,2024-11-04,2024-11-04,9.99,11656.43,PAYMENT/TRANSFER CSDB STRIPE PAYMENTS SIN
78,2024-11-04,2024-11-04,75.91,11732.34,PAYMENT/TRANSFER CSDB STRIPE PAYMENTS SIN
79,2024-11-04,2024-11-04,22.65,11754.99,PAYMENT/TRANSFER CSDB STRIPE PAYMENTS SIN
80,2024-11-04,2024-11-04,48.04,11803.03,PAYMENT/TRANSFER CSDB STRIPE PAYMENTS SIN
81,2024-11-04,2024-11-04,86.35,11889.38,"PAYMENT/TRANSFER CSDB STRIPE PAYMENTS SIN RNB05ESNB\9 Singapore dollar deposits of non-bank depositors and monies and deposits denominated in Singapore dollars under the Supplementary Retirement Scheme are insured by the Singapore Deposit Insurance Corporation, for up to S$100,000 in aggregate per depositor per Scheme member by law. Monies and deposits denominated in Singapore dollars under the CPF Investment Scheme and CPF Retirement Sum Scheme are aggregated and separately insured up to S$100,000 for each depositor per Scheme member. Foreign currency deposits, dual currency investments, structured deposits and other investment products are not insured."
82,2024-11-04,2024-11-04,83.00,11972.38,PAYMENT/TRANSFER CSDB STRIPE PAYMENTS SIN
83,2024-11-04,2024-11-04,78.00,12050.38,PAYMENT/TRANSFER CSDB STRIPE PAYMENTS SIN
84,2024-11-04,2024-11-04,54.40,12104.78,PAYMENT/TRANSFER CSDB STRIPE PAYMENTS SIN
85,2024-11-04,2024-11-04,80.80,12185.58,PAYMENT/TRANSFER CSDB STRIPE PAYMENTS SIN
86,2024-11-04,2024-11-04,92.00,12277.58,PAYMENT/TRANSFER CSDB STRIPE PAYMENTS SIN
87,2024-11-04,2024-11-04,28.35,12305.93,PAYMENT/TRANSFER CSDB STRIPE PAYMENTS SIN
88,2024-11-04,2024-11-04,170.00,12475.93,PAYMENT/TRANSFER CSDB STRIPE PAYMENTS SIN
89,2024-11-04,2024-11-04,3.68,12479.61,PAYMENT/TRANSFER CSDB STRIPE PAYMENTS SIN
90,2024-11-04,2024-11-04,4.44,12484.05,PAYMENT/TRANSFER CSDB STRIPE PAYMENTS SIN
91,2024-11-04,2024-11-04,64.91,12548.96,"PAYMENT/TRANSFER CSDB STRIPE PAYMENTS SIN RNB05ESNB\10 Singapore dollar deposits of non-bank depositors and monies and deposits denominated in Singapore dollars under the Supplementary Retirement Scheme are insured by the Singapore Deposit Insurance Corporation, for up to S$100,000 in aggregate per depositor per Scheme member by law. Monies and deposits denominated in Singapore dollars under the CPF Investment Scheme and CPF Retirement Sum Scheme are aggregated and separately insured up to S$100,000 for each depositor per Scheme member. Foreign currency deposits, dual currency investments, structured deposits and other investment products are not insured."
92,2024-11-04,2024-11-04,74.80,12623.76,PAYMENT/TRANSFER CSDB STRIPE PAYMENTS SIN
93,2024-11-04,2024-11-04,62.40,12686.16,PAYMENT/TRANSFER CSDB STRIPE PAYMENTS SIN
94,2024-11-04,2024-11-04,209.64,12895.80,PAYMENT/TRANSFER CSDB STRIPE PAYMENTS SIN
95,2024-11-04,2024-11-04,5.00,12900.80,PAYMENT/TRANSFER CSDB STRIPE PAYMENTS SIN
96,2024-11-04,2024-11-04,90.36,12991.16,PAYMENT/TRANSFER CSDB STRIPE PAYMENTS SIN
97,2024-11-04,2024-11-04,29.34,13020.50,PAYMENT/TRANSFER CSDB STRIPE PAYMENTS SIN
98,2024-11-04,2024-11-04,90.14,13110.64,PAYMENT/TRANSFER CSDB STRIPE PAYMENTS SIN
99,2024-11-04,2024-11-04,93.94,13204.58,PAYMENT/TRANSFER CSDB STRIPE PAYMENTS SIN
100,2024-11-04,2024-11-04,178.00,13382.58,PAYMENT/TRANSFER CSDB STRIPE PAYMENTS SIN
101,2024-11-04,2024-11-04,90.00,13472.58,"PAYMENT/TRANSFER CSDB STRIPE PAYMENTS SIN RNB05ESNB\11 Singapore dollar deposits of non-bank depositors and monies and deposits denominated in Singapore dollars under the Supplementary Retirement Scheme are insured by the Singapore Deposit Insurance Corporation, for up to S$100,000 in aggregate per depositor per Scheme member by law. Monies and deposits denominated in Singapore dollars under the CPF Investment Scheme and CPF Retirement Sum Scheme are aggregated and separately insured up to S$100,000 for each depositor per Scheme member. Foreign currency deposits, dual currency investments, structured deposits and other investment products are not insured."
102,2024-11-04,2024-11-04,81.60,13554.18,PAYMENT/TRANSFER CSDB STRIPE PAYMENTS SIN
103,2024-11-04,2024-11-04,87.29,13641.47,PAYMENT/TRANSFER CSDB STRIPE PAYMENTS SIN
104,2024-11-04,2024-11-04,85.00,13726.47,PAYMENT/TRANSFER CSDB STRIPE PAYMENTS SIN
105,2024-11-04,2024-11-04,96.00,13822.47,PAYMENT/TRANSFER CSDB STRIPE PAYMENTS SIN
106,2024-11-04,2024-11-04,85.00,13907.47,PAYMENT/TRANSFER CSDB STRIPE PAYMENTS SIN
107,2024-11-04,2024-11-04,20.00,13927.47,PAYMENT/TRANSFER CSDB STRIPE PAYMENTS SIN
108,2024-11-04,2024-11-04,2.72,13930.19,PAYMENT/TRANSFER CSDB STRIPE PAYMENTS SIN
109,2024-11-04,2024-11-04,84.45,14014.64,PAYMENT/TRANSFER CSDB STRIPE PAYMENTS SIN
110,2024-11-04,2024-11-04,92.00,14106.64,PAYMENT/TRANSFER CSDB STRIPE PAYMENTS SIN
111,2024-11-04,2024-11-04,8.70,14115.34,"PAYMENT/TRANSFER CSDB STRIPE PAYMENTS SIN RNB05ESNB\12 Singapore dollar deposits of non-bank depositors and monies and deposits denominated in Singapore dollars under the Supplementary Retirement Scheme are insured by the Singapore Deposit Insurance Corporation, for up to S$100,000 in aggregate per depositor per Scheme member by law. Monies and deposits denominated in Singapore dollars under the CPF Investment Scheme and CPF Retirement Sum Scheme are aggregated and separately insured up to S$100,000 for each depositor per Scheme member. Foreign currency deposits, dual currency investments, structured deposits and other investment products are not insured."
112,2024-11-04,2024-11-04,95.00,14210.34,PAYMENT/TRANSFER CSDB STRIPE PAYMENTS SIN
113,2024-11-04,2024-11-04,101.00,14311.34,PAYMENT/TRANSFER CSDB STRIPE PAYMENTS SIN
114,2024-11-04,2024-11-04,58.88,14370.22,PAYMENT/TRANSFER CSDB STRIPE PAYMENTS SIN
115,2024-11-04,2024-11-04,94.88,14465.10,PAYMENT/TRANSFER CSDB STRIPE PAYMENTS SIN
116,2024-11-04,2024-11-04,8.19,14473.29,PAYMENT/TRANSFER CSDB STRIPE PAYMENTS SIN
117,2024-11-04,2024-11-04,100.58,14573.87,PAYMENT/TRANSFER CSDB STRIPE PAYMENTS SIN
118,2024-11-04,2024-11-04,4.35,14578.22,PAYMENT/TRANSFER CSDB STRIPE PAYMENTS SIN
119,2024-11-04,2024-11-04,80.00,14658.22,PAYMENT/TRANSFER CSDB STRIPE PAYMENTS SIN
120,2024-11-04,2024-11-04,65.00,14723.22,PAYMENT/TRANSFER CSDB STRIPE PAYMENTS SIN
121,2024-11-04,2024-11-04,5.88,14729.10,"PAYMENT/TRANSFER CSDB STRIPE PAYMENTS SIN RNB05ESNB\13 Singapore dollar deposits of non-bank depositors and monies and deposits denominated in Singapore dollars under the Supplementary Retirement Scheme are insured by the Singapore Deposit Insurance Corporation, for up to S$100,000 in aggregate per depositor per Scheme member by law. Monies and deposits denominated in Singapore dollars under the CPF Investment Scheme and CPF Retirement Sum Scheme are aggregated and separately insured up to S$100,000 for each depositor per Scheme member. Foreign currency deposits, dual currency investments, structured deposits and other investment products are not insured."
122,2024-11-04,2024-11-04,3.44,14732.54,PAYMENT/TRANSFER CSDB STRIPE PAYMENTS SIN
123,2024-11-04,2024-11-04,22.95,14755.49,PAYMENT/TRANSFER CSDB STRIPE PAYMENTS SIN
124,2024-11-04,2024-11-04,105.00,14860.49,PAYMENT/TRANSFER CSDB STRIPE PAYMENTS SIN
125,2024-11-04,2024-11-04,5.12,14865.61,PAYMENT/TRANSFER CSDB STRIPE PAYMENTS SIN
126,2024-11-04,2024-11-04,40.60,14906.21,PAYMENT/TRANSFER CSDB STRIPE PAYMENTS SIN
127,2024-11-05,2024-11-05,-268.47,14637.74,DEBIT PURCHASE USD 196.20 02/11/24 xx-2970 DOCUSIGN INC. Wil
128,2024-11-05,2024-11-05,-273.66,14364.08,DEBIT PURCHASE USD 200.16 02/11/24 xx-4699 Twilio MWDWQ4XVB2BCKMG San
129,2024-11-05,2024-11-05,-41.81,14322.27,DEBIT PURCHASE USD 30.56 03/11/24 xx-8140 ZOOM.US 888-799-9666 San
130,2024-11-05,2024-11-05,-17.71,14304.56,"DEBIT PURCHASE USD 12.95 03/11/24 xx-8724 EXPRESSVPN.COM WIL RNB05ESNB\14 Singapore dollar deposits of non-bank depositors and monies and deposits denominated in Singapore dollars under the Supplementary Retirement Scheme are insured by the Singapore Deposit Insurance Corporation, for up to S$100,000 in aggregate per depositor per Scheme member by law. Monies and deposits denominated in Singapore dollars under the CPF Investment Scheme and CPF Retirement Sum Scheme are aggregated and separately insured up to S$100,000 for each depositor per Scheme member. Foreign currency deposits, dual currency investments, structured deposits and other investment products are not insured."
131,2024-11-05,2024-11-05,39291.00,53595.56,TT IN SGD USD 30000.00 OC241105003579000 TT-USD30000.00
132,2024-11-05,2024-11-05,20.00,53615.56,PAYMENT/TRANSFER CSDB STRIPE PAYMENTS SIN
133,2024-11-05,2024-11-05,2.24,53617.80,PAYMENT/TRANSFER CSDB STRIPE PAYMENTS SIN
134,2024-11-05,2024-11-05,1.68,53619.48,PAYMENT/TRANSFER CSDB STRIPE PAYMENTS SIN
135,2024-11-05,2024-11-05,89.00,53708.48,PAYMENT/TRANSFER CSDB STRIPE PAYMENTS SIN
136,2024-11-05,2024-11-05,3.24,53711.72,PAYMENT/TRANSFER CSDB STRIPE PAYMENTS SIN
137,2024-11-05,2024-11-05,78.00,53789.72,PAYMENT/TRANSFER CSDB STRIPE PAYMENTS SIN
138,2024-11-05,2024-11-05,70.00,53859.72,PAYMENT/TRANSFER CSDB STRIPE PAYMENTS SIN
139,2024-11-05,2024-11-05,37.92,53897.64,PAYMENT/TRANSFER CSDB STRIPE PAYMENTS SIN
140,2024-11-05,2024-11-05,58.90,53956.54,"PAYMENT/TRANSFER CSDB STRIPE PAYMENTS SIN RNB05ESNB\15 Singapore dollar deposits of non-bank depositors and monies and deposits denominated in Singapore dollars under the Supplementary Retirement Scheme are insured by the Singapore Deposit Insurance Corporation, for up to S$100,000 in aggregate per depositor per Scheme member by law. Monies and deposits denominated in Singapore dollars under the CPF Investment Scheme and CPF Retirement Sum Scheme are aggregated and separately insured up to S$100,000 for each depositor per Scheme member. Foreign currency deposits, dual currency investments, structured deposits and other investment products are not insured."
141,2024-11-05,2024-11-05,163.00,54119.54,PAYMENT/TRANSFER CSDB STRIPE PAYMENTS SIN
142,2024-11-05,2024-11-05,66.40,54185.94,PAYMENT/TRANSFER CSDB STRIPE PAYMENTS SIN
143,2024-11-05,2024-11-05,19.71,54205.65,PAYMENT/TRANSFER CSDB STRIPE PAYMENTS SIN
