txn_id,bank_account,date,amount,currency,description,counterparty,ai_suggestion,ai_confidence,YOUR_REMARK (code or instruction)
5800,OCBC Main account,26/3/2026,-39.86,SGD,DEBIT PURCHASE USD 30.00 23/03/26 xx-3433 CODERABBIT* CODERABBIT WAL,,6701 — Technology - Software Subscriptions,0.75,ok
5380,OCBC Main account,26/1/2026,-39.73,SGD,DEBIT PURCHASE USD 30.00 23/01/26 xx-2128 CODERABBIT* CODERABBIT WAL,,6701 — Technology - Software Subscriptions,0.75,ok
5656,OCBC Main account,26/2/2026,-39.27,SGD,DEBIT PURCHASE USD 30.00 23/02/26 xx-2128 CODERABBIT* CODERABBIT WAL,,6701 — Technology - Software Subscriptions,0.75,ok
10341,Wise AUD,14/4/2026,-37.67,AUD,Card transaction of 34.00 SGD issued by Five Guys SINGAPORE,,6401 — Travel - Meals,0.7,ok
9691,Wise AUD,13/1/2026,-34.44,AUD,Card transaction of 23.00 USD issued by Exportcomments.com BUCHAREST,,6701 — Technology - Software Subscriptions,0.7,ok
10425,Wise AUD,16/4/2026,-30.01,AUD,Card transaction of 30.01 AUD issued by Ampol Randwick 22221f RANDWICK,,6400 — Travel - Tickets,0.65,ok
6994,CBA,25/2/2026,-27.75,AUD,Transfer to xx6947 CommBank app Aus post,,6013 — Employee Claims - Office Supplies,0.65,ok
10356,Wise AUD,15/4/2026,-26.48,AUD,Card transaction of 23.98 SGD issued by Chimichanga Paya Lebar Singapore,,6401 — Travel - Meals,0.65,ok
6535,CBA,19/5/2026,-25.61,AUD,=X0>_6) 73.00.60VO.461D.100S.3R.LS30303R852ZZ01.6.6153.7441 20 May SALSAS M/AIR/DEPARTURE DR MELB AIRPORT Card xx1999 Va,,6400 — Travel - Tickets,0.75,ok
10822,Wise AUD,16/6/2026,-25.26,AUD,Card transaction of 25.26 AUD issued by Otr Rouse Hill ROUSE HILL,,6013 — Employee Claims - Office Supplies,0.55,ok
10421,Wise AUD,16/4/2026,-22.84,AUD,Card transaction of 20.80 SGD issued by Marche Singapore,,6401 — Travel - Meals,0.7,ok
10642,Wise AUD,18/5/2026,-21.5,AUD,Card transaction of 21.50 AUD issued by Poacher And Hound MOUNT WAVERLE,,6401 — Travel - Meals,0.65,ok
10766,Wise AUD,9/6/2026,-19.78,AUD,Card transaction of 17.90 SGD issued by Superstaple Pte. Ltd. Singapore,,6013 — Employee Claims - Office Supplies,0.6,ok
6494,CBA,13/5/2026,-14.2,AUD,GYG MARTIN PLACE Sydney AU Card xx1999 Value Date 11/05/2026,,6402 — Entertainment,0.75,ok
10417,Wise AUD,16/4/2026,-13.76,AUD,Card transaction of 12.50 SGD issued by Hchain Pte Ltd N/A,,6400 — Travel - Tickets,0.75,ok
7088,CBA,18/3/2026,-13.19,AUD,Transfer to xx6947 CommBank app Aus post,,6012 — Employee Claims - Transport,0.55,ok
10407,Wise AUD,15/4/2026,-12.59,AUD,Card transaction of 11.40 SGD issued by Takashimaya (s) Ltd Singapore,,6013 — Employee Claims - Office Supplies,0.55,ok
10760,Wise AUD,8/6/2026,-12.29,AUD,Card transaction of 7.50 EUR issued by Internationale Tennisclub Amsterdam,,6400 — Travel - Tickets,0.5,ok
6379,CBA,15/4/2026,-12.14,AUD,FINEST PAYA LEBAR QUARTER SINGAPORE SG Card xx1999 SGD 10.90 Value Date 13/04/2026,,6401 — Travel - Meals,0.65,ok
6599,CBA,2/6/2026,-11.79,AUD,73.00.60VO.461D.100S.3R.LS30303R852ZZ01.8.8153.7441 03 Jun SQ *SPACES Sydney AU Card xx1999 Value Date 01/06/2026,,6300 — Office Rent,0.6,ok
6320,CBA,31/3/2026,-11.67,AUD,Pure Brew Co. GORDON AU Card xx1999 Value Date 27/03/2026,,6402 — Entertainment,0.65,ok
7019,CBA,3/3/2026,-11.47,AUD,73.00.60VO.980D.100S.3R.LS30303R852ZZ21.9.3113.0911 03 Mar Pure Brew Co. GORDON AU Card xx1999 Value Date 27/02/2026,,6401 — Travel - Meals,0.72,ok
10218,Wise AUD,23/3/2026,-10,AUD,Card transaction of 10.00 AUD issued by Chemist Warehouse KNOXFIELD,,6014 — Employee Claims - Other,0.5,ok
10705,Wise AUD,25/5/2026,-9.99,AUD,Card transaction of 9.99 AUD issued by Uberdirectau_pass SYDNEY,,5060 — Parking - RMS Fleet,0.7,ok
10712,Wise AUD,27/5/2026,-9.5,AUD,Card transaction of 9.50 AUD issued by Waverley Council BONDI JUNCTIO,,5060 — Parking - RMS Fleet,0.75,ok
6368,CBA,14/4/2026,-7.74,AUD,Atrium Cafe Sydney Pty MASCOT AU Card xx1999 Value Date 12/04/2026,,6402 — Entertainment,0.65,ok
6532,CBA,19/5/2026,-6.4,AUD,CITYOFSYDNEY PARKING SYDNEY AU Card xx1999 Value Date 15/05/2026,,6400 — Travel - Tickets,0.72,ok
6476,CBA,8/5/2026,-6.1,AUD,PINKIE PROMISE & CO PTYPICAULFIELD NORAU,,5060 — Parking - RMS Fleet,0.62,ok
10765,Wise AUD,9/6/2026,-5.97,AUD,Card transaction of 5.40 SGD issued by 7-Eleven-16 Collyer Quay Singapore,,6013 — Employee Claims - Office Supplies,0.55,ok
6391,CBA,16/4/2026,-5.9,AUD,7-ELEVEN-700 GEYLANG RD Singapore SG Card xx1999 SGD 5.30 Value Date 12/04/2026,,6402 — Entertainment,0.75,ok
7124,CBA,28/3/2026,-5.89,AUD,=è0;è;) 73.00.60VO.980D.100S.3R.LS30303R852ZZ21.11.5113.0911 28 Mar SQ *SPACES Sydney AU Card xx1999 Value Date 26/03/20,,6402 — Entertainment,0.65,ok
10714,Wise AUD,27/5/2026,-4.5,AUD,Card transaction of 4.50 AUD issued by Waverley Council BONDI JUNCTIO,,5060 — Parking - RMS Fleet,0.75,ok
6377,CBA,15/4/2026,-3.26,AUD,FLIGHT CLUB CP SEPANG MY Card xx1999 MYR 9.10 Value Date 12/04/2026,,6402 — Entertainment,0.7,ok
10082,Wise AUD,1/3/2026,-2.99,AUD,Card transaction of 2.12 USD issued by Shenduqrwea 18658850911,,6701 — Technology - Software Subscriptions,0.6,ok
10408,Wise AUD,15/4/2026,-2.43,AUD,Card transaction of 2.20 SGD issued by Takashimaya (s) Ltd Singapore,,6013 — Employee Claims - Office Supplies,0.55,ok
9820,Wise AUD,27/1/2026,1.45,AUD,Card transaction of 1.00 USD issued by Www.brave.com +16502003351,,7002 — Other Income - Interest,0.5,ok
9819,Wise AUD,27/1/2026,-1.45,AUD,Card transaction of 1.00 USD issued by Www.brave.com +16502003351,,6701 — Technology - Software Subscriptions,0.65,ok
