merchant,txn_count,total,ai_suggestion,txn_ids,YOUR_REMARK (code or instruction)
Pure Brew Co. GORDON AU,1,-11.67,6402 — Entertainment,6320,
Qr.io Generator QR.IO,1,-57.13,6701 — Technology - Software Subscriptions,10774,ok
Reddy Express  1612 Gundagai Sout,2,-152.32,6400 — Travel - Tickets,10834;10870,Employee Claims - Transport
Reddy Express 1593 Ryde North AU,1,-40.07,6402 — Entertainment,6331,Employee Claims - Transport
Reddy Express 1701 Hornsby,1,-20,6400 — Travel - Tickets,10430,Employee Claims - Transport
Sahebs - Curries And More SINGAPORE,1,-76.75,6400 — Travel - Tickets,9817,Employee Claims - Meals
Saint & Rogue Melbourne AU,1,-74.1,6402 — Entertainment,6488,
Shenduqrwea 18658850911,1,-2.99,6701 — Technology - Software Subscriptions,10082,
Singtel Prepaid Hi!acc SINGAPORE,1,-34.39,6700 — Technology - Infrastructure,9803,Employee Claims - Other
SPEEDW AY KENT ROAD NORTH RYDE AU,2,-96.25,6400 — Travel - Tickets,6575;6580,
Spicy Korea MELBOURNE,1,-50.8,6401 — Travel - Meals,10571,Employee Claims - Meals
Spire Residences By Cllix BRISBANE CITY,1,-135,6400 — Travel - Tickets,10758,
Superstaple Pte. Ltd. Singapore,1,-19.78,6013 — Employee Claims - Office Supplies,10766,
Takashimaya (s) Ltd Singapore,2,-15.02,6013 — Employee Claims - Office Supplies,10407;10408,
Taquito Carlton AU,1,-25.38,6401 — Travel - Meals,6538,Employee Claims - Meals
The Bar Station   Tk SINGAPORE,1,-182.3,6400 — Travel - Tickets,9815,Employee Claims - Meals
The Naked Duck Sydney AU,1,-5.68,6402 — Entertainment,6677,Employee Claims - Meals
The Palace Sydney AU,1,-12.12,6400 — Travel - Tickets,7017,Employee Claims - Meals
Traveloka3DS*135706475 WWW.TRAVELOKA AU,1,-324.82,6401 — Travel - Meals,6527,
Uberdirectau_pass SYDNEY,1,-9.99,5060 — Parking - RMS Fleet,10705,
Unprompted 501(c)(3) UNPROMPTEDCON,1,-56.3,6400 — Travel - Tickets,10018,
Vistaprint Australia Pty Derrimut,2,-407.9,6103 — Marketing - Asset Creation,9883;9909,
W&l Group Pty Ltd NOTTING HILL,1,-83.45,6400 — Travel - Tickets,10845,
Waverley Council BONDI JUNCTIO,2,-14,5060 — Parking - RMS Fleet,10712;10714,
Www.brave.com +16502003351,2,0,6701 — Technology - Software Subscriptions,9819;9820,
Yardbird SINGAPORE,1,-189.42,6401 — Travel - Meals,10782,Employee Claims - Meals
